,Demand,Lost Load,Curtailment,Genset production,Diesel consumption
2017-01-01 00:00:00,34830.591000000095,0.0,0.0,34830.591000000095,11.798980691056943
2017-01-01 00:01:00,52355.48800000008,0.0,0.0,52355.48800000008,17.735598915989186
2017-01-01 00:02:00,73675.44600000008,0.0,0.0,73675.44600000008,24.957806910569133
2017-01-01 00:03:00,83100.40900000009,0.0,0.0,83100.40900000009,28.15054505420057
2017-01-01 00:04:00,88470.38900000008,0.0,0.0,88470.38900000008,29.96964397018973
2017-01-01 00:05:00,91985.38200000009,0.0,0.0,91985.38200000009,31.16035975609759
2017-01-01 00:06:00,96655.37300000002,0.0,0.0,96655.37300000002,32.74233502710028
2017-01-01 00:07:00,101250.35599999993,0.0,0.0,101250.35599999993,34.298901084010815
2017-01-01 00:08:00,104070.35199999988,0.0,0.0,104070.35199999988,35.254184281842775
2017-01-01 00:09:00,107930.34399999981,0.0,0.0,107930.34399999981,36.56176964769641
2017-01-01 00:10:00,103835.33799999984,0.0,0.0,103835.33799999984,35.17457249322488
2017-01-01 00:11:00,101965.33499999989,0.0,0.0,101965.33499999989,34.541102642276385
2017-01-01 00:12:00,99105.32599999993,0.0,0.0,99105.32599999993,33.57226490514903
2017-01-01 00:13:00,94680.32499999997,0.0,0.0,94680.32499999997,32.07328082655825
2017-01-01 00:14:00,91585.32399999998,0.0,0.0,91585.32399999998,31.024838753387527
2017-01-01 00:15:00,91380.33100000003,0.0,0.0,91380.33100000003,30.955396680216815
2017-01-01 00:16:00,90895.33400000006,0.0,0.0,90895.33400000006,30.791102303523054
2017-01-01 00:17:00,90235.32800000004,0.0,0.0,90235.32800000004,30.567523035230366
2017-01-01 00:18:00,90545.32199999999,0.0,0.0,90545.32199999999,30.672534552845523
2017-01-01 00:19:00,89035.32300000002,0.0,0.0,89035.32300000002,30.161017276422772
2017-01-01 00:20:00,89815.31100000002,0.0,0.0,89815.31100000002,30.425240853658543
2017-01-01 00:21:00,88925.31000000004,0.0,0.0,88925.31000000004,30.123750000000015
2017-01-01 00:22:00,86230.31100000005,0.0,0.0,86230.31100000005,29.210809959349607
2017-01-01 00:23:00,85420.31500000003,0.0,0.0,85420.31500000003,28.936421070460714
2017-01-01 00:24:00,86430.30200000001,0.0,0.0,86430.30200000001,29.278557588075884
2017-01-01 00:25:00,87085.29899999997,0.0,0.0,87085.29899999997,29.500440040650396
2017-01-01 00:26:00,84085.29400000004,0.0,0.0,84085.29400000004,28.484178184281856
2017-01-01 00:27:00,82350.28700000005,0.0,0.0,82350.28700000005,27.896438685636873
2017-01-01 00:28:00,78970.28700000005,0.0,0.0,78970.28700000005,26.751452235772376
2017-01-01 00:29:00,78465.28800000006,0.0,0.0,78465.28800000006,26.58038211382116
2017-01-01 00:30:00,75630.30100000006,0.0,0.0,75630.30100000006,25.620020663956662
2017-01-01 00:31:00,73880.29000000005,0.0,0.0,73880.29000000005,25.027198509485114
