,Demand,Lost Load,Boiler production,Curtailment,NG consumption
2017-01-01 00:00:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:01:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:02:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:03:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:04:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:05:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:06:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:07:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:08:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:09:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:10:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:11:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:12:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:13:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:14:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:15:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:16:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:17:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:18:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:19:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:20:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:21:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:22:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:23:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:24:00,9786.697116073643,4.622029986306656e-05,9786.801714929652,0.10464507630968001,18.41715352567511
2017-01-01 00:25:00,9786.697116073643,4.622029986306656e-05,9786.801714929652,0.10464507630968001,18.41715352567511
2017-01-01 00:26:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:27:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:28:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:29:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:30:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:31:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:32:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:33:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:34:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:35:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:36:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:37:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:38:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:39:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:40:00,0.03200000000000002,1.284151856420946e-06,0.03460084557777855,0.0026021297296349513,6.511310882614575e-05
2017-01-01 00:41:00,14788.008351490813,4.622069510194088e-05,14788.116002815445,0.10769754532702791,27.828805641772696
2017-01-01 00:42:00,14788.008351490813,4.622069510194088e-05,14788.116002815445,0.10769754532702791,27.828805641772696
2017-01-01 00:43:00,25892.29758125457,9.106676743245721e-05,25895.89535209619,3.597861908387131,48.731822129064184
