,Demand,Lost Load,Boiler production,Curtailment,NG consumption
2017-01-01 00:00:00,9.438,6.850703031099448e-07,9.438048184096631,4.8869166933585007e-05,17.72603144785634
2017-01-01 00:01:00,24.333,6.850684177825381e-07,24.33304819343811,4.887850652934844e-05,45.70101456208795
2017-01-01 00:02:00,24.333,6.850684177825381e-07,24.33304819343811,4.887850652934844e-05,45.70101456208795
2017-01-01 00:03:00,30.503,6.850680909536152e-07,30.50304819507346,4.888014155213227e-05,57.28917473344125
2017-01-01 00:04:00,33.341,6.850679708064446e-07,33.34104819567599,4.888074396092179e-05,62.61935278280367
2017-01-01 00:05:00,18.447,6.850688666020862e-07,18.447048191200615,4.887626948146817e-05,34.64624782360569
2017-01-01 00:06:00,9.438,6.850703031099448e-07,9.438048184096631,4.8869166933585007e-05,17.72603144785634
2017-01-01 00:07:00,8.719,6.850705234070627e-07,8.71904818301429,4.886808481430194e-05,16.37564454776931
2017-01-01 00:08:00,6.453,6.850715060506946e-07,6.4530481782074745,4.886327898034892e-05,12.119765942092018
2017-01-01 00:09:00,8.55,6.850705800502965e-07,8.550048182736287,4.886780686597092e-05,16.058237891098127
2017-01-01 00:10:00,37.694,6.850678126641642e-07,37.694048196470185,4.8881537992429e-05,70.79492186250128
2017-01-01 00:11:00,37.694,6.850678126641642e-07,37.694048196470185,4.8881537992429e-05,70.79492186250128
2017-01-01 00:12:00,29.144,6.850681543232393e-07,29.144048194755968,4.88798241242705e-05,54.73677446239194
2017-01-01 00:13:00,14.488,6.850693144349872e-07,14.488048188976935,4.8874046250091396e-05,27.21066822360629
2017-01-01 00:14:00,19.752,6.850687501781988e-07,19.752048191780137,4.887684888998933e-05,37.09722821685098
2017-01-01 00:15:00,19.752,6.850687501781988e-07,19.752048191780137,4.887684888998933e-05,37.09722821685098
2017-01-01 00:16:00,31.038,6.850680671046913e-07,31.038048195193003,4.888026106897314e-05,58.29398278715536
2017-01-01 00:17:00,14.488,6.850693144349872e-07,14.488048188976935,4.8874046250091396e-05,27.21066822360629
2017-01-01 00:18:00,21.581,6.850686050747083e-07,21.581048192503275,4.887757188143382e-05,40.53235705901749
2017-01-01 00:19:00,21.581,6.850686050747083e-07,21.581048192503275,4.887757188143382e-05,40.53235705901749
2017-01-01 00:20:00,16.883,6.850690238221481e-07,16.883048190418975,4.8875488001698386e-05,31.708827643338164
2017-01-01 00:21:00,16.883,6.850690238221481e-07,16.883048190418975,4.8875488001698386e-05,31.708827643338164
