,Demand,Lost Load,Curtailment,RES production,BESS outflow,BESS inflow,Genset production,Diesel consumption
2017-01-01 00:00:00,34.831,0.0,3.28489103088995e-05,0.0,7.090954070375605e-06,-9.136598380883809e-07,34.83102667161608,0.19665213793821185
2017-01-01 00:01:00,52.355,0.0,3.285084800942948e-05,0.0,6.964340944262416e-06,-1.0484518665232282e-06,52.35502693495893,0.29559071214407706
2017-01-01 00:02:00,73.675,0.0,3.2852194456185654e-05,0.0,6.884521355540352e-06,-1.1329351066746603e-06,73.6750271006082,0.41596108344968497
2017-01-01 00:03:00,83.1,0.0,3.285266871915955e-05,0.0,6.8229853932259e-06,-1.1977957400939745e-06,83.10002722747906,0.46917359545776344
2017-01-01 00:04:00,88.47,0.0,3.285292687079777e-05,0.0,6.771505286566323e-06,-1.2518719607529248e-06,88.47002733329354,0.4994920242394622
2017-01-01 00:05:00,91.985,0.0,3.2853104952058795e-05,0.0,6.728657469409136e-06,-1.2967460962529407e-06,91.98502742119358,0.5193373273554289
2017-01-01 00:06:00,96.655,0.0,3.285347415737626e-05,0.0,6.688357816964491e-06,-1.338844524848756e-06,96.65502750396087,0.545703633152444
2017-01-01 00:07:00,101.25,0.0,3.2853871633950305e-05,0.0,6.651469873661321e-06,-1.3772843301730374e-06,101.25002757968609,0.5716464971752828
2017-01-01 00:08:00,104.07,0.0,3.2854135078163594e-05,0.0,6.6172466649004195e-06,-1.4128655327165062e-06,104.07002764975394,0.5875679067849703
2017-01-01 00:09:00,107.93,0.0,3.285453566201409e-05,0.0,6.585171268206982e-06,-1.4461416279566506e-06,107.93002771550603,0.609361041754212
2017-01-01 00:10:00,103.835,0.0,3.2854099448666384e-05,0.0,6.5573024780147525e-06,-1.4749935002135686e-06,103.83502777179046,0.5862411233728008
2017-01-01 00:11:00,101.965,0.0,3.2853913706145614e-05,0.0,6.52859744206495e-06,-1.5046582492574659e-06,101.96502782997452,0.5756833097898291
2017-01-01 00:12:00,99.105,0.0,3.2853653322759646e-05,0.0,6.50117065453298e-06,-1.5329486398234335e-06,99.10502788543131,0.5595360652971506
2017-01-01 00:13:00,94.68,0.0,3.285329049317195e-05,0.0,6.474852501941952e-06,-1.5600461322941806e-06,94.68002793848413,0.5345530032660577
2017-01-01 00:14:00,91.585,0.0,3.2853086342141396e-05,0.0,6.4495063621825405e-06,-1.586096928687432e-06,91.5850279896769,0.5170789746481307
2017-01-01 00:15:00,91.38,0.0,3.28530785663917e-05,0.0,6.427464399790977e-06,-1.6087134323018402e-06,91.3800280343276,0.5159215674928161
2017-01-01 00:16:00,90.895,0.0,3.285305791951106e-05,0.0,6.403822683459015e-06,-1.6329348537083967e-06,90.89502808217009,0.5131833112136974
2017-01-01 00:17:00,90.235,0.0,3.285302990433747e-05,0.0,6.380872441208479e-06,-1.6564098451430789e-06,90.23502812856731,0.5094570242127784
2017-01-01 00:18:00,90.545,0.0,3.285304391640411e-05,0.0,6.3585481473351265e-06,-1.6792085249077129e-06,90.5450281737043,0.5112072503032086
2017-01-01 00:19:00,89.035,0.0,3.2852979800873244e-05,0.0,6.3367939367620595e-06,-1.7013906495004931e-06,89.03502821757651,0.502681956964637
2017-01-01 00:20:00,89.815,0.0,3.2853014490137706e-05,0.0,6.317905778980308e-06,-1.7206225262791228e-06,89.81502825573124,0.5070857512179948
2017-01-01 00:21:00,88.925,0.0,3.285297745818926e-05,0.0,6.297210033074324e-06,-1.7416657360135997e-06,88.92502829743316,0.5020609095383535
2017-01-01 00:22:00,86.23,0.0,3.285286498787197e-05,0.0,6.276957376615296e-06,-1.7622284362665471e-06,86.23002833813605,0.48684523677809427
2017-01-01 00:23:00,85.42,0.0,3.285283230323583e-05,0.0,6.257115202748277e-06,-1.7823455654915354e-06,85.42002837806267,0.4822720662718082
2017-01-01 00:24:00,86.43,0.0,3.2852875332776006e-05,0.0,6.237654847892711e-06,-1.8020478260485383e-06,86.43002841726832,0.4879744151833125
2017-01-01 00:25:00,87.085,0.0,3.2852904331896046e-05,0.0,6.220733903180211e-06,-1.8191571656096137e-06,87.08502845132759,0.4916724731895189
2017-01-01 00:26:00,84.085,0.0,3.2852781739778443e-05,0.0,6.202008260600728e-06,-1.838066479917739e-06,84.08502848883995,0.4747348040246158
2017-01-01 00:27:00,82.35,0.0,3.285271138345457e-05,0.0,6.18359576938311e-06,-1.8566345958797258e-06,82.3500285257502,0.4649391854434858
2017-01-01 00:28:00,78.97,0.0,3.285257205779544e-05,0.0,6.165478188160019e-06,-1.8748810737508887e-06,78.97002856197494,0.445856078150265
2017-01-01 00:29:00,78.465,0.0,3.285255246400984e-05,0.0,6.147638417099587e-06,-1.8928242745128442e-06,78.46502859773832,0.44300490400710435
2017-01-01 00:30:00,75.63,0.0,3.285243574654586e-05,0.0,6.132049652858982e-06,-1.908484970342349e-06,75.63002862887106,0.42699880662190076
