,0
0,58210.62600000009
1,76270.5250000001
2,84330.4700000001
3,89255.43900000009
4,95690.40900000003
5,98685.396
6,102700.39199999992
7,106665.37899999988
8,110500.37599999986
9,115755.37199999976
10,109920.3649999998
11,104070.35899999984
12,101815.34999999985
13,95565.35399999988
14,96450.34799999988
15,96285.34899999989
16,96015.35299999989
17,94445.3549999999
18,93005.34799999991
19,91120.34799999994
20,89030.34899999996
21,91595.34399999995
22,92175.34700000002
23,91175.34199999999
24,87940.34900000003
25,85150.35100000001
26,82475.35100000004
27,80165.34400000004
28,76650.35300000006
29,76445.35000000006
30,76030.34500000007
31,71290.34400000007
32,68850.34300000007
33,65055.353000000054
34,63315.35400000006
35,65445.344000000056
36,62195.34300000005
37,58695.33800000005
38,56215.32900000005
39,54060.32900000005
40,55705.32800000005
41,55750.327000000056
42,52920.328000000045
43,51480.32900000005
44,52815.32500000005
45,51835.32600000005
46,53835.327000000056
47,54575.321000000054
48,54550.32100000005
49,52590.32200000005
50,52010.32200000005
51,53260.33100000006
52,53620.33400000005
53,54680.332000000046
54,56480.32600000005
55,53890.32800000005
56,51905.327000000056
57,51025.32500000005
58,50175.323000000055
59,54320.32200000005
60,56620.31800000005
61,54180.31500000005
62,55215.31400000005
63,55190.317000000054
64,53185.31700000005
65,57995.31100000005
66,57775.31600000005
67,57090.31800000005
68,57670.31600000004
69,54045.313000000046
70,54485.31200000004
71,54445.31400000005
72,51870.313000000046
73,51005.31800000005
74,50640.32400000005
75,51090.31700000005
76,51540.31500000005
77,53000.32000000005
78,54515.31800000005
79,54305.32200000005
80,51930.33000000005
81,56110.32600000005
82,57805.323000000055
83,56965.32000000004
84,59880.32100000005
85,54790.32200000005
86,57185.31700000005
87,57665.31400000005
88,55750.31600000006
89,56860.319000000054
90,57545.31500000005
91,53265.31800000005
92,53725.32000000006
93,53780.32000000006
94,53075.319000000054
95,58080.32200000005
96,56125.321000000054
97,55695.327000000056
98,54985.327000000056
99,54405.31700000005
100,53595.31200000005
101,54715.30600000005
102,52375.309000000045
103,53150.31000000005
104,53005.31400000005
105,55290.309000000045
106,53890.31800000005
107,52785.32600000005
108,53580.327000000056
109,56030.31900000005
110,54220.32100000005
111,57155.321000000054
112,58345.32200000005
113,58540.319000000054
114,56725.32400000005
115,53865.32800000005
116,56405.327000000056
117,56760.33200000005
118,54375.33400000005
119,53825.33400000006
120,54070.336000000054
121,51710.336000000054
122,52625.33100000006
123,52430.33000000005
124,52255.33100000006
125,55600.336000000054
126,54685.338000000054
127,54415.33300000005
128,56115.33100000006
129,54515.338000000054
130,56065.34500000006
131,57820.35200000006
132,57675.342000000055
133,57350.34500000005
134,57610.342000000055
135,56555.33900000006
136,55325.34300000006
137,55995.346000000056
138,57265.34400000005
139,59135.34800000005
140,59405.35100000006
141,60395.35400000006
142,58775.35900000006
143,62675.357000000055
144,61950.361000000055
145,60100.353000000054
146,61460.36400000006
147,62305.361000000055
148,60925.35700000006
149,59355.356000000065
150,58760.354000000065
151,57940.35400000006
152,59095.35500000006
153,57430.35200000006
154,57245.35100000006
155,59120.34900000006
156,58225.352000000064
157,56120.35500000006
158,57100.357000000055
159,56890.35400000006
160,57020.35400000006
161,57745.360000000066
162,58650.359000000055
163,57650.355000000054
164,56435.348000000056
165,56690.34100000005
166,55315.33900000005
167,55305.33900000005
168,54320.34100000005
169,57210.344000000056
170,55875.344000000056
171,54455.34700000006
172,55375.34100000005
173,56085.342000000055
174,56555.338000000054
175,56190.33900000005
176,57605.33900000005
177,59830.33400000005
178,58680.33200000006
179,57625.33200000006
180,56635.329000000056
181,58940.33000000006
182,58760.33000000006
183,58780.327000000056
184,59660.32800000006
185,60675.33100000006
186,60180.33200000005
187,57455.332000000046
188,57325.327000000056
189,57010.32400000005
190,58845.319000000054
191,60575.315000000046
192,58890.319000000054
193,56750.30900000005
194,55865.31100000005
195,55945.319000000054
196,55825.315000000046
197,55415.32000000005
198,55555.32500000005
199,58555.323000000055
200,58460.32100000005
201,54175.319000000054
202,55295.31800000005
203,55500.31700000005
204,55995.311000000045
205,54080.31400000005
206,55535.323000000055
207,57500.323000000055
208,56960.325000000055
209,56970.317000000054
210,56065.31400000005
211,56590.31500000005
212,55690.31400000006
213,57935.312000000056
214,57760.30900000005
215,59985.310000000056
216,57605.30700000005
217,56405.304000000055
218,56200.300000000054
219,54770.30300000005
220,56300.29600000005
221,57755.30600000005
222,61010.307000000044
223,59850.30800000005
224,60370.30900000005
225,58530.309000000045
226,59700.30700000005
227,58055.30600000005
228,58455.30400000005
229,61780.304000000055
230,62440.307000000044
231,59845.30800000005
232,58870.30800000005
233,57845.30700000005
234,57315.31100000005
235,56875.311000000045
236,57370.32100000005
237,58945.32200000005
238,58625.319000000054
239,56535.319000000054
240,55630.31600000005
241,55055.311000000045
242,53020.31000000005
243,53630.31100000005
244,54570.31200000005
245,56530.30800000005
246,54620.31500000005
247,54850.31000000005
248,53735.31200000005
249,52410.31700000005
250,53325.31700000005
251,54080.313000000046
252,58220.32100000005
253,58080.32200000005
254,59105.323000000055
255,56995.32200000005
256,57860.32100000005
257,56180.322000000044
258,57185.315000000046
259,60605.31500000005
260,59460.319000000054
261,59110.32100000005
262,56755.315000000046
263,57060.319000000054
264,55980.32500000005
265,53840.327000000056
266,55555.32600000005
267,56555.323000000055
268,55285.31800000005
269,54285.32400000005
270,54770.32400000005
271,53630.33100000006
272,52685.33600000006
273,51890.33400000005
274,50855.33200000006
275,53275.33200000006
276,52435.32800000005
277,52710.33400000005
278,53615.336000000054
279,50560.338000000054
280,52165.32900000005
281,53305.32600000005
282,57210.32200000005
283,56640.32400000005
284,58440.323000000055
285,58485.319000000054
286,57190.321000000054
287,55605.31800000005
288,55265.31800000005
289,58960.319000000054
290,57440.31700000005
291,57265.31600000005
292,54110.313000000046
293,54130.30400000005
294,53975.30500000005
295,52490.300000000054
296,53395.30100000004
297,53835.305000000044
298,52595.305000000044
299,51400.30000000005
300,51885.29500000005
301,51480.29500000005
302,48670.29500000005
303,47615.296000000046
304,46220.29600000004
305,47665.29900000004
306,45775.30100000005
307,45235.29700000004
308,46350.29700000005
309,44625.29900000005
310,45485.290000000045
311,46375.28300000005
312,51305.28700000005
313,50300.29100000005
314,51125.294000000045
315,49340.29300000004
316,51350.290000000045
317,49940.290000000045
318,49865.298000000046
319,50950.29900000005
320,49020.29500000005
321,50045.28900000004
322,48000.286000000044
323,47940.28500000004
324,47200.28700000005
325,46930.286000000044
326,46460.28800000004
327,47475.28800000004
328,46905.28500000004
329,45955.28800000004
330,46775.288000000044
331,46270.28500000004
332,43010.28300000004
333,43445.28300000004
334,42230.286000000044
335,43610.28800000004
336,41560.28200000004
337,41945.27700000004
338,42450.27800000004
339,40625.27700000004
340,41435.275000000045
341,41140.279000000046
342,45100.28100000004
343,44435.28000000004
344,45875.28200000004
345,45045.27400000004
346,47075.275000000045
347,45295.27600000004
348,45740.27300000004
349,47635.27000000004
350,45790.27200000004
351,46485.27400000004
352,45740.26800000004
353,45685.27200000004
354,45145.26800000004
355,44790.26600000004
356,44100.25800000004
357,45355.26400000004
358,44610.265000000036
359,44535.26800000003
360,46455.265000000036
361,44915.267000000036
362,41540.27200000003
363,41890.276000000034
364,40930.27200000003
365,42080.263000000035
366,40645.25800000004
367,40890.25800000004
368,41285.26200000004
369,39260.26400000003
370,40220.26200000004
371,39980.26600000004
372,44035.265000000036
373,43210.26600000004
374,44520.26600000004
375,43755.263000000035
376,45500.26400000003
377,44130.26900000004
378,44450.26800000003
379,46445.26600000004
380,43775.267000000036
381,44045.26200000004
382,43805.255000000034
383,44370.25200000003
384,43890.25800000004
385,43345.26600000004
386,42095.280000000035
387,44470.28500000004
388,44830.28600000004
389,45305.28500000004
390,47125.28600000004
391,45255.29300000004
392,44060.29400000004
393,45390.295000000035
394,45855.29900000004
395,46020.30800000005
396,44050.309000000045
397,42650.32100000005
398,44910.327000000056
399,41840.33400000004
400,43945.341000000044
401,45005.34400000005
402,48565.361000000055
403,45590.37500000005
404,46340.37800000005
405,46025.378000000055
406,51810.37700000005
407,34870.38700000005
408,35375.395000000055
409,36870.399000000056
410,34287.39800000006
411,33314.395000000055
412,32844.40400000007
413,33241.409000000065
414,29876.413000000066
415,31326.421000000068
416,31631.423000000068
417,34919.42700000006
418,34921.43600000007
419,34581.44100000007
420,36110.44900000007
421,35500.45300000007
422,34522.45300000007
423,36847.46000000007
424,35402.46000000007
425,38082.462000000065
426,32277.466000000073
427,33377.46500000006
428,32612.469000000074
429,32652.469000000074
430,34502.47200000007
431,35239.47700000007
432,40911.48100000008
433,38976.49200000008
434,38721.50100000008
435,39651.50000000007
436,42406.50300000008
437,44796.51100000007
438,46255.514000000076
439,43400.52700000008
440,41400.53400000009
441,40697.53200000009
442,40497.54200000009
443,43282.54200000009
444,43284.547000000086
445,43934.55600000009
446,43891.56500000009
447,40691.57200000009
448,39171.58100000009
449,43108.5860000001
450,45758.5980000001
451,46162.599000000104
452,42451.605000000105
453,46853.60500000011
454,44487.6090000001
455,47233.6050000001
456,48405.609000000106
457,44547.6120000001
