,0
0,57445.6090000001
1,77465.4980000001
2,85275.44400000009
3,89835.43000000008
4,95700.41300000007
5,98025.39700000004
6,103440.3819999999
7,108750.37399999984
8,112130.3669999998
9,114500.36199999976
10,108850.35199999978
11,104100.35199999984
12,101950.34799999987
13,101295.34099999985
14,98110.34499999993
15,96210.34599999992
16,96520.33199999992
17,94675.34199999998
18,94290.33299999996
19,92285.336
20,93415.33699999993
21,95695.3309999999
22,94415.33399999996
23,94555.32399999998
24,87440.33900000004
25,87825.33500000004
26,86935.32600000007
27,83825.32300000008
28,78780.32300000008
29,77750.32600000007
30,78755.32800000007
31,77990.33500000006
32,75855.32300000006
33,70980.32400000007
34,69985.32000000005
35,67500.31400000006
36,63585.30600000005
37,61435.31200000005
38,60365.30400000005
39,58460.30300000005
40,58030.30600000005
41,55645.29500000005
42,55005.30300000005
43,54485.30000000005
44,52695.294000000045
45,50200.29300000004
46,50860.29700000004
47,50800.28900000004
48,53125.296000000046
49,49800.29700000004
50,49155.30100000004
51,50560.298000000046
52,52965.298000000046
53,55435.29900000005
54,54610.29600000004
55,55655.30100000004
56,55875.29900000005
57,55120.29100000004
58,52630.29700000004
59,53795.29500000005
60,55475.30000000005
61,56605.29100000004
62,55630.29700000004
63,54070.30200000005
64,57505.29700000004
65,55330.30600000005
66,56715.29700000005
67,58100.29500000004
68,58195.296000000046
69,58355.30000000005
70,57190.30600000005
71,54235.30200000005
72,52525.30400000005
73,51355.30200000005
74,50110.305000000044
75,48935.30900000005
76,51360.30600000005
77,50170.30400000005
78,49985.30600000005
79,50650.30400000005
80,50855.30600000005
81,51250.305000000044
82,51480.309000000045
83,51020.309000000045
84,50700.309000000045
85,52725.31000000005
86,53340.31200000004
87,52750.31900000005
88,54250.31700000005
89,54790.31400000005
90,54165.313000000046
91,58400.30300000004
92,58170.30300000004
93,60570.30200000005
94,61200.30500000005
95,59975.30600000005
96,56870.30800000004
97,55700.30400000005
98,56685.30600000005
99,57885.30200000005
100,57750.30200000005
101,54065.30000000005
102,54190.29900000005
103,51935.30600000005
104,51485.30000000005
105,50410.30200000005
106,52465.30300000004
107,53125.30300000004
108,52125.30600000004
109,53040.305000000044
110,51335.31000000005
111,52565.31000000005
112,52100.31200000005
113,54390.30900000005
114,53005.31200000005
115,56445.313000000046
116,57610.32000000005
117,58280.32000000005
118,59080.32200000005
119,58815.32200000005
120,60175.31400000005
121,61000.31800000005
122,60565.315000000046
123,58725.31700000005
124,59955.31500000005
125,58905.31900000005
126,57140.32400000005
127,57115.32300000005
128,58650.32700000005
129,58090.317000000054
130,57200.32300000005
131,53060.32800000005
132,53485.325000000055
133,51520.323000000055
134,51060.323000000055
135,48870.32600000005
136,48495.32600000005
137,48035.325000000055
138,48075.323000000055
139,49430.32200000005
140,50505.32200000005
141,51840.32900000005
142,54270.33200000006
143,56260.33400000005
144,57755.329000000056
145,60605.33300000006
146,62515.33500000005
147,61950.33200000005
148,60130.33400000005
149,61935.33200000005
150,62030.32900000005
151,62645.32500000005
152,59985.32900000004
153,60585.32500000005
154,61200.328000000045
155,59865.33100000005
156,58160.33100000005
157,58460.328000000045
158,60180.33100000005
159,58655.33100000006
160,58425.33500000006
161,56435.33700000005
162,56645.33900000005
163,55510.34700000005
164,54520.35000000005
165,52200.34400000005
166,53210.33900000005
167,53640.33500000005
168,52665.33300000005
169,51235.33100000006
170,51650.327000000056
171,52910.32400000006
172,54820.32200000005
173,55195.32200000005
174,55370.32800000005
175,56405.327000000056
176,57735.32800000005
177,57360.32800000005
178,55925.33000000005
179,55470.32900000005
180,55860.32600000005
181,59920.32100000005
182,57915.32000000005
183,56755.322000000044
184,57255.31400000005
185,56445.31200000005
186,55340.30800000005
187,57025.307000000044
188,58545.309000000045
189,59415.31000000005
190,59475.305000000044
191,56450.31000000005
192,56940.30800000005
193,58365.30700000005
194,57940.309000000045
195,58245.30800000005
196,57885.31000000005
197,58260.31200000005
198,57895.305000000044
199,56660.30800000004
200,54570.30600000004
201,56945.30400000004
202,57945.304000000055
203,58635.30300000004
204,60125.305000000044
205,63540.30600000005
206,64645.309000000045
207,63000.30200000005
208,61870.30300000004
209,62375.30200000005
210,62370.30200000005
211,63400.30100000004
212,60925.29900000004
213,58575.29900000004
214,56800.30300000005
215,53625.30400000005
216,54415.30200000005
217,55090.30200000004
218,56030.30100000004
219,57475.30300000005
220,59050.30100000004
221,57200.30200000005
222,57135.30200000005
223,58640.30200000005
224,58575.29900000005
225,57465.30000000005
226,55750.30200000005
227,56385.30100000004
228,56415.30300000005
229,56375.29900000005
230,54090.29700000004
231,54935.29900000004
232,54100.30000000005
233,55535.29500000005
234,56210.29700000004
235,56430.298000000046
236,58860.29900000005
237,57795.30300000005
238,57615.298000000046
239,58560.296000000046
240,57960.29900000005
241,58680.30200000005
242,58135.30200000005
243,56590.30000000005
244,54455.30300000005
245,55790.30700000005
246,53410.30600000005
247,53990.30100000004
248,55105.30600000005
249,53615.309000000045
250,55365.309000000045
251,54350.31000000005
252,56760.31500000005
253,59050.31600000006
254,59425.319000000054
255,58810.31500000005
256,57490.32200000005
257,57945.31900000005
258,56975.321000000054
259,57082.325000000055
260,57027.32700000006
261,56667.329000000056
262,55007.325000000055
263,54557.32700000005
264,54752.32000000005
265,53442.31800000005
266,56052.31400000005
267,55692.32000000005
268,56032.325000000055
269,56947.32400000005
270,57977.32600000006
271,57207.32200000006
272,55867.323000000055
273,53312.32100000005
274,51722.317000000054
275,52277.31400000005
276,50052.317000000054
277,50547.32400000005
278,51732.31600000005
279,49392.32400000005
280,51157.32000000005
281,51702.32200000006
282,54132.32000000005
283,57837.31600000005
284,57902.31300000005
285,57447.31100000005
286,54342.31700000005
287,54142.317000000054
288,52792.32200000006
289,52087.329000000056
290,49792.334000000046
291,49017.33600000005
292,46102.34000000005
293,47772.33300000005
294,48512.33200000005
295,48537.33300000005
296,50082.33200000005
297,47502.32500000005
298,47912.326000000045
299,47422.32800000005
300,46207.32800000005
301,45742.32800000005
302,45172.32300000005
303,44887.31800000005
304,43722.31200000005
305,42897.31400000005
306,41432.311000000045
307,42497.31400000005
308,42037.315000000046
309,40852.31200000005
310,42577.30200000005
311,41902.30100000005
312,43172.310000000056
313,43292.31200000005
314,43247.310000000056
315,43267.30800000005
316,43012.30300000005
317,42892.30300000004
318,42187.30300000005
319,41612.30500000005
320,41207.30600000005
321,40237.30900000005
322,39082.31000000005
323,38787.31000000005
324,38617.30200000004
325,38422.29700000005
326,40040.29700000004
327,39065.30400000004
328,38885.29800000004
329,39960.298000000046
330,38420.295000000035
331,38220.295000000035
332,38380.28900000003
333,36675.291000000034
334,35920.28700000003
335,36300.28400000003
336,36085.28500000003
337,36355.28700000003
