,0
0,44015.6160000001
1,65145.50400000009
2,71755.44700000009
3,78745.39300000005
4,84390.3779999999
5,87505.37399999985
6,89290.35899999984
7,93570.3509999998
8,99430.34399999976
9,101690.34299999973
10,95125.3369999998
11,92745.33699999978
12,89450.33599999979
13,87960.32799999986
14,86640.33099999989
15,83030.33099999995
16,82015.32899999994
17,81255.31999999992
18,95850.31799999993
19,93075.31799999993
20,92495.31399999997
21,88080.317
22,88275.31500000002
23,87845.31900000003
24,87410.31400000001
25,87185.30800000003
26,82490.30600000006
27,79595.30900000007
28,79140.30900000005
29,78440.30600000006
30,74435.30800000006
31,72455.31100000006
32,72715.31100000006
33,66590.31400000006
34,68205.31200000006
35,63335.308000000055
36,63425.305000000044
37,60350.30100000006
38,58450.29100000005
39,53735.29600000005
40,55275.298000000046
41,56705.298000000046
42,55835.29300000004
43,55995.296000000046
44,56205.298000000046
45,54315.294000000045
46,55610.29500000005
47,55775.29300000004
48,53595.298000000046
49,53475.29500000005
50,53590.29600000005
51,54720.29500000005
52,56380.29500000005
53,56720.292000000045
54,56960.28900000004
55,57245.28700000004
56,54455.28400000004
57,52055.29300000004
58,54080.288000000044
59,54435.28200000004
60,53095.28400000004
61,51865.286000000044
62,52000.29100000005
63,51465.29500000005
64,52060.29300000005
65,54795.288000000044
66,56375.28400000004
67,55370.290000000045
68,53775.29100000005
69,53305.290000000045
70,54740.28300000005
71,55245.281000000046
72,55315.28200000004
73,54485.28500000005
74,53775.28700000005
75,52015.28300000005
76,52245.28800000004
77,53655.29300000005
78,53300.30000000005
79,53985.29700000004
80,55630.294000000045
81,55875.29700000005
82,56305.290000000045
83,55380.29100000005
84,54740.29500000005
85,56300.29900000005
86,54515.29900000005
87,55255.29900000005
88,56160.30100000005
89,55380.304000000055
90,53150.30700000005
91,52545.30500000005
92,53020.308000000055
93,50585.30300000005
94,50540.31700000005
95,52035.313000000046
96,53050.30600000005
97,53045.30300000005
98,54165.30700000005
99,52625.30200000005
100,51390.29700000004
101,53055.308000000055
102,54015.31000000005
103,57220.30500000005
104,57410.308000000055
105,56820.31200000005
106,57132.306000000055
107,56017.30900000005
108,56952.306000000055
109,56512.30300000005
110,58597.30500000005
111,58277.30500000005
112,57262.30500000005
113,58222.30900000005
114,59457.308000000055
115,59632.308000000055
116,59652.308000000055
117,58542.30900000005
118,60882.302000000054
119,60622.304000000055
120,57792.31300000005
121,55842.31900000005
122,54997.32000000005
123,52102.31500000005
124,51632.32000000005
125,51862.319000000054
126,52177.31800000006
127,55127.31400000006
128,53882.31900000006
129,53817.316000000064
130,52887.317000000054
131,53812.31700000006
132,54242.32100000006
133,57292.32200000006
134,56797.32600000006
135,56902.32600000006
136,54892.33200000006
137,53602.33400000006
138,53712.33600000006
139,52867.335000000065
140,56722.339000000065
141,57102.343000000066
142,57842.34400000006
143,58892.34900000006
144,58967.346000000056
145,61342.34000000006
146,62297.33900000006
147,59877.34200000006
148,60692.34500000006
149,60792.34700000006
150,60072.34200000006
151,59337.34400000006
152,58392.34100000006
153,54967.34100000006
154,53997.336000000054
155,52542.33400000006
156,53287.325000000055
157,55757.32200000005
158,54997.32700000005
159,55397.32600000006
160,53447.32600000006
161,54467.321000000054
162,54742.32400000005
163,56622.32300000006
164,57357.317000000054
165,57167.317000000054
166,54532.31500000005
167,54052.31500000005
168,54747.31500000005
169,55357.31300000005
170,58822.31300000005
171,60687.31200000005
172,60182.31300000005
173,61592.31600000005
174,61777.31600000005
175,62052.31200000005
176,64497.30600000005
177,62772.31400000006
178,63012.31300000005
179,62537.31500000005
180,60622.32400000005
181,61052.31900000005
182,59702.317000000054
183,56572.32100000005
184,55902.31800000005
185,55957.31600000005
186,57652.31500000005
187,58992.31200000005
188,57112.31500000005
189,58322.31600000005
190,57172.31400000006
191,56467.312000000056
192,57312.308000000055
193,58487.31200000006
194,56812.31100000005
195,58572.31400000006
196,54447.317000000054
197,54467.31400000006
198,55857.30500000005
199,56227.304000000055
200,58487.302000000054
201,58202.30800000005
202,59742.310000000056
203,60322.310000000056
204,61632.30800000005
205,60042.30700000006
206,60752.30400000005
207,60482.31200000006
208,61162.31500000005
209,61507.31500000005
210,61107.31100000006
211,61452.30400000005
212,59692.30600000005
213,57587.307000000044
214,55482.31600000005
215,54542.319000000054
216,56442.319000000054
217,58402.32000000005
218,58142.321000000054
219,56717.32000000005
220,54047.31800000005
221,53442.31800000006
222,53642.319000000054
223,55352.319000000054
224,56257.31800000006
225,56892.31900000006
226,55912.316000000064
227,55252.31300000005
228,55752.31500000006
229,58732.306000000055
230,59242.308000000055
231,59827.30900000006
232,59132.308000000055
233,59042.30900000006
234,59452.306000000055
235,59397.306000000055
236,59007.308000000055
237,56272.308000000055
238,55957.310000000056
239,56402.31100000005
240,57257.306000000055
241,57842.30700000005
242,59492.30100000006
243,57622.302000000054
244,55542.30500000005
