,0
0,52520.614000000096
1,68050.5100000001
2,74345.46300000009
3,83245.42800000007
4,90265.40100000007
5,94065.39799999999
6,96175.39399999997
7,98975.38899999994
8,103145.38299999987
9,107545.37999999982
10,104905.36599999986
11,103100.3589999999
12,102890.3459999999
13,101410.33999999992
14,97850.33799999993
15,93930.33799999996
16,92950.33799999997
17,92660.34599999998
18,90610.33400000002
19,90270.335
20,89470.34000000001
21,90780.33799999997
22,87655.33
23,89295.32599999999
24,87950.33100000002
25,84220.33700000006
26,83770.34000000007
27,81920.33700000007
28,78460.33900000007
29,76260.32900000007
30,72000.33200000007
31,71445.33500000006
32,69900.32300000006
33,69510.31900000006
34,67470.32700000006
35,63410.32400000005
36,58595.317000000054
37,55885.31000000005
38,56090.30600000005
39,56700.29900000005
40,59670.298000000046
41,57365.30000000005
42,56125.30000000005
43,52420.298000000046
44,51765.29600000005
45,52495.304000000055
46,51280.308000000055
47,52070.30000000005
48,50355.30400000004
49,49625.30200000005
50,52235.29900000005
51,51860.29900000005
52,51675.30000000005
53,53425.30400000004
54,54225.305000000044
55,51355.30600000005
56,54085.30200000005
57,53750.29700000004
58,53325.30200000005
59,54050.30800000005
60,52550.308000000055
61,51835.31500000005
62,53430.312000000056
63,55075.309000000045
64,55380.31500000005
65,57755.31600000005
66,54100.31500000005
67,55325.313000000046
68,55575.31700000005
69,55585.31600000004
70,52380.31300000005
71,52425.31700000005
72,52240.32000000005
73,49755.31800000005
74,48635.32000000005
75,50210.31400000005
76,49405.31000000005
77,49690.309000000045
78,49910.31100000005
79,48340.315000000046
80,50835.31400000005
81,50825.31200000004
82,50705.30400000005
83,50335.31000000005
84,48105.313000000046
85,46015.31500000005
86,51525.32500000005
87,52145.32100000005
88,51370.32200000005
89,51720.32000000005
90,51935.325000000055
91,50915.32600000005
92,52670.32200000005
93,55410.323000000055
94,57555.32400000005
95,58090.32600000005
96,55415.32900000005
97,56555.32000000005
98,58415.32400000005
99,59405.32700000005
100,56260.33100000005
101,57180.32400000006
102,56545.32900000005
103,52845.33200000006
104,53475.323000000055
105,54470.32200000005
106,55890.32200000005
107,55015.32400000005
108,53445.33000000005
109,52860.33300000005
110,52840.338000000054
111,54060.342000000055
112,54465.34300000005
113,54040.34700000006
114,53040.35000000006
115,52550.35100000005
116,53215.34700000005
117,52780.344000000056
118,52250.342000000055
119,51510.348000000056
120,52420.34900000005
121,50910.353000000054
122,51430.35200000005
123,53275.34900000005
124,54910.34900000005
125,56235.353000000054
126,53630.35000000006
127,53345.35900000006
128,56125.35100000006
129,56255.35000000006
130,55885.353000000054
131,56935.341000000044
132,56725.34200000005
133,56100.34500000006
134,58390.34600000006
135,56710.348000000056
136,57705.348000000056
137,57230.34900000006
138,54470.35100000006
139,54370.35900000006
140,54980.353000000054
141,55635.35700000006
142,57010.350000000064
143,55515.34900000006
144,53515.35400000006
145,53390.353000000054
146,53130.357000000055
147,52065.355000000054
148,52245.35400000006
149,52345.35400000006
150,52910.34500000006
151,52790.34300000006
152,51540.35000000006
153,54475.35000000006
154,53705.34900000005
155,55810.35000000006
156,54700.340000000055
157,55935.340000000055
158,57365.336000000054
159,56445.34000000005
160,55545.344000000056
161,56280.34300000006
162,57835.34100000005
163,56020.33900000005
164,58330.33500000005
165,59110.33500000005
166,60370.338000000054
167,59860.33500000004
168,57600.33300000005
169,58405.33400000005
170,58890.33000000005
171,57825.32900000005
172,59125.32500000005
173,59675.321000000054
174,56735.32400000005
175,54860.315000000046
176,53495.31600000005
177,52245.31800000005
178,52055.31500000005
179,52550.31500000005
180,53515.30800000005
181,51750.30600000005
182,51845.313000000046
183,53405.31600000004
184,53820.319000000054
185,53845.31400000005
186,53870.313000000046
187,54800.313000000046
188,55565.31600000004
189,54495.31900000004
190,54395.31600000004
191,56020.32000000004
192,56115.32300000005
193,55500.31900000005
194,57895.32300000005
195,58810.323000000055
196,59690.31900000005
197,60490.32000000004
198,59800.32100000005
199,59095.32700000005
200,57845.33100000005
201,58100.32900000005
202,58945.32800000006
203,57115.329000000056
204,55585.33200000005
205,52665.33000000005
206,53060.32800000006
207,52530.329000000056
208,52430.325000000055
209,52550.327000000056
210,52890.325000000055
211,51250.327000000056
212,51940.323000000055
213,52535.32000000006
214,52790.31800000005
215,53705.31300000005
216,51905.313000000046
217,54565.309000000045
218,54645.31200000004
219,52860.30800000004
220,53710.30300000004
221,53935.30100000004
222,55490.30100000004
223,55815.30100000004
224,58255.30400000005
225,58430.30400000005
226,60215.30100000005
227,60075.296000000046
228,59575.30300000005
229,61655.30200000005
230,59680.30500000005
231,60385.29900000006
232,59955.300000000054
233,58405.29900000005
234,55190.30100000006
235,54815.302000000054
236,55070.306000000055
237,55280.30300000005
238,54765.306000000055
239,54970.312000000056
240,56000.31300000005
241,55150.31600000006
242,52590.31000000005
