,T_groundwater
0,16.967098460341
1,16.96354536670047
2,16.95910597416885
3,16.95378159823396
4,16.947573816623294
5,16.940484468836523
6,16.932515655600398
7,16.923669738246254
8,16.91394933801032
9,16.90335733525697
10,16.89189686862521
11,16.879571334098642
12,16.866384383999154
13,16.85233992590466
14,16.83744212149119
15,16.82169538529972
16,16.805104383428024
17,16.78767403214802
18,16.769409496448965
19,16.75031618850697
20,16.730399766081256
21,16.709666130837604
22,16.688121426599615
23,16.665772037528125
24,16.642624586229452
25,16.618685931792985
26,16.593963167758666
27,16.56846362001504
28,16.542194844628433
29,16.515164625603916
30,16.487380972578748
31,16.458852118448934
32,16.429586516929664
33,16.399592840050268
34,16.36887997558452
35,16.337457024417
36,16.305333297846303
37,16.272518314825902
38,16.239021799143465
39,16.204853676539507
40,16.17002407176616
41,16.13454330558701
42,16.098421891718804
43,16.06167053371604
44,16.024300121799257
45,15.986321729628019
46,15.947746611019571
47,15.908586196614074
48,15.86885209048747
49,15.828556066712935
50,15.787710065871972
51,15.74632619151616
52,15.704416706580606
53,15.661994029750181
54,15.619070731779582
55,15.57565953176836
56,15.531773293391971
57,15.487425021089987
58,15.442627856212603
59,15.397395073126575
60,15.351740075281736
61,15.305676391239263
62,15.259217670662874
63,15.212377680274136
64,15.165170299773092
65,15.1176095177254
66,15.069709427417232
67,15.02148422267911
68,14.972948193679985
69,14.924115722692742
70,14.875001279832427
71,14.825619418768435
72,14.775984772411947
73,14.726112048579882
74,14.676016025636653
75,14.625711548115019
76,14.57521352231733
77,14.524536911898464
78,14.473696733431781
79,14.422708051959383
80,14.371585976528012
81,14.320345655711925
82,14.269002273124038
83,14.217571042916692
84,14.166067205273373
85,14.11450602189272
86,14.062902771466149
87,14.011272745150452
88,13.959631242036691
89,13.907993564616758
90,13.8563750142489
91,13.804790886623614
92,13.753256467231191
93,13.701787026832301
94,13.650397816932935
95,13.599104065265056
96,13.547920971274294
97,13.49686370161602
98,13.44594738566114
99,13.395187111012934
100,13.344597919036278
101,13.29419480040056
102,13.243992690637617
103,13.194006465716026
104,13.144250937633018
105,13.094740850025378
106,13.045490873800581
107,12.996515602789483
108,12.947829549421858
109,12.899447140426048
110,12.851382712554017
111,12.80365050833306
112,12.756264671845432
113,12.709239244537155
114,12.662588161057233
115,12.616325245128511
116,12.570464205451419
117,12.52501863164177
118,12.480001990203883
119,12.435427620540153
120,12.391308730998308
121,12.347658394957481
122,12.30448954695429
123,12.261814978850063
124,12.21964733604032
125,12.177999113707674
126,12.136882653119251
127,12.096310137969684
128,12.056293590770842
129,12.016844869289287
130,11.977975663032565
131,11.939697489785358
