,T_groundwater
319,16.204853676539507
320,16.239021799143465
321,16.272518314825902
322,16.305333297846303
323,16.337457024417
324,16.36887997558452
325,16.399592840050268
326,16.429586516929664
327,16.458852118448934
328,16.487380972578748
329,16.515164625603916
330,16.542194844628433
331,16.56846362001504
332,16.593963167758666
333,16.618685931792985
334,16.642624586229452
335,16.665772037528125
336,16.688121426599615
337,16.709666130837604
338,16.730399766081256
339,16.75031618850697
340,16.769409496448965
341,16.78767403214802
342,16.805104383428024
343,16.82169538529972
344,16.83744212149119
345,16.85233992590466
346,16.866384383999154
347,16.879571334098642
348,16.89189686862521
349,16.90335733525697
350,16.91394933801032
351,16.923669738246254
352,16.932515655600398
353,16.940484468836523
354,16.947573816623294
355,16.95378159823396
356,16.95910597416885
357,16.96354536670047
358,16.967098460341
359,16.969764202232113
360,16.971541802456958
361,16.97243073427422
362,16.97243073427422
363,16.971541802456958
364,16.969764202232113
