,Demand,Lost Load,Electric resistance production,Curtailment
2017-01-01 00:00:00,9.438,0.0,9.438,0.0
2017-01-01 00:01:00,24.333,0.0,24.333,0.0
2017-01-01 00:02:00,24.333,0.0,24.333,0.0
2017-01-01 00:03:00,30.503,0.0,30.503,0.0
2017-01-01 00:04:00,33.341,0.0,33.341,0.0
2017-01-01 00:05:00,18.447,0.0,18.447,0.0
2017-01-01 00:06:00,9.438,0.0,9.438,0.0
2017-01-01 00:07:00,8.719,0.0,8.719,0.0
2017-01-01 00:08:00,6.453,0.0,6.453,0.0
2017-01-01 00:09:00,8.55,0.0,8.55,0.0
2017-01-01 00:10:00,37.694,0.0,37.694,0.0
2017-01-01 00:11:00,37.694,0.0,37.694,0.0
2017-01-01 00:12:00,29.144,0.0,29.144,0.0
2017-01-01 00:13:00,14.488,0.0,14.488,0.0
2017-01-01 00:14:00,19.752,0.0,19.752,0.0
2017-01-01 00:15:00,19.752,0.0,19.752,0.0
2017-01-01 00:16:00,31.038,0.0,31.038,0.0
2017-01-01 00:17:00,14.488,0.0,14.488,0.0
2017-01-01 00:18:00,21.581,0.0,21.581,0.0
2017-01-01 00:19:00,21.581,0.0,21.581,0.0
2017-01-01 00:20:00,16.883,0.0,16.883,0.0
2017-01-01 00:21:00,16.883,0.0,16.883,0.0
2017-01-01 00:22:00,7.377,0.0,7.377,0.0
2017-01-01 00:23:00,20.292,0.0,20.292,0.0
2017-01-01 00:24:00,20.292,0.0,20.292,0.0
2017-01-01 00:25:00,20.292,0.0,20.292,0.0
2017-01-01 00:26:00,19.942,0.0,19.942,0.0
2017-01-01 00:27:00,34.92,0.0,34.92,0.0
2017-01-01 00:28:00,29.958,0.0,29.958,0.0
2017-01-01 00:29:00,44.152,0.0,44.152,0.0
2017-01-01 00:30:00,42.938,0.0,42.938,0.0
2017-01-01 00:31:00,46.386,0.0,46.386,0.0
2017-01-01 00:32:00,24.238,0.0,24.238,0.0
2017-01-01 00:33:00,10.474,0.0,10.474,0.0
2017-01-01 00:34:00,10.474,0.0,10.474,0.0
2017-01-01 00:35:00,5.86,0.0,5.86,0.0
2017-01-01 00:36:00,13.898,0.0,13.898,0.0
2017-01-01 00:37:00,5.86,0.0,5.86,0.0
2017-01-01 00:38:00,12.027,0.0,12.027,0.0
2017-01-01 00:39:00,25.844,0.0,25.844,0.0
2017-01-01 00:40:00,19.984,0.0,19.984,0.0
2017-01-01 00:41:00,25.704,0.0,25.704,0.0
2017-01-01 00:42:00,11.887,0.0,11.887,0.0
2017-01-01 00:43:00,0.0,0.0,0.0,0.0
2017-01-01 00:44:00,20.959,0.0,20.959,0.0
2017-01-01 00:45:00,20.959,0.0,20.959,0.0
2017-01-01 00:46:00,28.051,0.0,28.051,0.0
2017-01-01 00:47:00,20.264,0.0,20.264,0.0
2017-01-01 00:48:00,7.092,0.0,7.092,0.0
2017-01-01 00:49:00,17.388,0.0,17.388,0.0
2017-01-01 00:50:00,17.388,0.0,17.388,0.0
2017-01-01 00:51:00,17.388,0.0,17.388,0.0
2017-01-01 00:52:00,17.388,0.0,17.388,0.0
2017-01-01 00:53:00,10.297,0.0,10.297,0.0
2017-01-01 00:54:00,0.0,0.0,0.0,0.0
2017-01-01 00:55:00,5.207,0.0,5.207,0.0
2017-01-01 00:56:00,14.543,0.0,14.543,0.0
2017-01-01 00:57:00,14.543,0.0,14.543,0.0
2017-01-01 00:58:00,14.543,0.0,14.543,0.0
2017-01-01 00:59:00,33.407,0.0,33.407,0.0
