,Demand,Lost Load,Electric resistance production,Curtailment
2017-01-01 00:00:00,0.03200000000000002,0.0003123251260473076,0.9725168854262094,0.9408292105522567
2017-01-01 00:01:00,0.03200000000000002,0.00031232028184179864,0.970820919572347,0.9391332398541887
2017-01-01 00:02:00,0.03200000000000002,0.00031231296001586403,0.9669043468804261,0.935216659840442
2017-01-01 00:03:00,0.03200000000000002,0.0003123090729111166,0.9660139978547448,0.934326306927656
2017-01-01 00:04:00,0.03200000000000002,0.0003123718500964946,1.2670176668809745,1.235330038731071
2017-01-01 00:05:00,0.03200000000000002,0.0003123107818687725,0.950257064215279,0.9185693749971477
2017-01-01 00:06:00,0.03200000000000002,0.000312310203607254,0.9561344538111456,0.9244467640147528
2017-01-01 00:07:00,0.03200000000000002,0.00031230970806384647,0.9532776704631516,0.9215899801712154
2017-01-01 00:08:00,0.03200000000000002,0.00031230936329643393,0.9529430204427314,0.9212553298060278
2017-01-01 00:09:00,0.03200000000000002,0.0003123155320207448,1.083427844364934,1.0517401598969547
2017-01-01 00:10:00,0.03200000000000002,0.030667720432642608,0.0014602895885752719,0.00012801002121785865
2017-01-01 00:11:00,0.03200000000000002,0.030414055954942204,0.0019206249098098344,0.0003346808647520169
2017-01-01 00:12:00,0.03200000000000002,0.00031379924045442115,98.81210957940104,98.78042337864149
2017-01-01 00:13:00,0.03200000000000002,0.000312313743395398,0.9513771599192324,0.9196894736626278
2017-01-01 00:14:00,0.03200000000000002,0.00031231402712736823,0.9528127172081184,0.9211250312352458
2017-01-01 00:15:00,0.03200000000000002,0.0003123149027619244,0.9518877845463862,0.9202000994491482
2017-01-01 00:16:00,0.03200000000000002,0.0003123720283076479,1.3632964698974774,1.331608841925785
2017-01-01 00:17:00,0.03200000000000002,0.00031231579772033995,0.9576622751274613,0.9259745909251816
2017-01-01 00:18:00,0.03200000000000002,0.0003123147606145949,0.9591249187982811,0.9274372335588956
2017-01-01 00:19:00,0.03200000000000002,0.00031231602234930034,0.9498471771980377,0.9181594932203869
2017-01-01 00:20:00,0.03200000000000002,0.0003123165725880542,0.9544839701355983,0.9227962867081863
2017-01-01 00:21:00,0.03200000000000002,0.00031231674913724007,0.9557868955422606,0.9240992122913978
2017-01-01 00:22:00,0.03200000000000002,0.00031231827961777925,0.9683838278537422,0.9366961461333599
2017-01-01 00:23:00,0.03200000000000002,0.00031231723497111667,0.9559478006164284,0.9242601178513995
2017-01-01 00:24:00,9786.697116073643,0.00031241233985457913,9787.159646244638,0.4628425833343499
2017-01-01 00:25:00,9786.697116073643,0.0003124186002258344,9787.171145988366,0.4743423333238752
2017-01-01 00:26:00,0.03200000000000002,0.0003123179274951149,0.9585034844158002,0.9268158023432953
2017-01-01 00:27:00,0.03200000000000002,0.00031233053601145786,1.4051928411793,1.3735051717153115
2017-01-01 00:28:00,0.03200000000000002,0.00031231813050377165,0.9512977686344186,0.9196100867649224
2017-01-01 00:29:00,0.03200000000000002,0.00031231945289959123,0.8488253831958446,0.8171377026487441
2017-01-01 00:30:00,0.03200000000000002,0.0003123472302488774,1.986588907176582,1.954901254406831
2017-01-01 00:31:00,0.03200000000000002,0.00031232972949135455,1.163713969370292,1.1320262990997834
2017-01-01 00:32:00,0.03200000000000002,0.0003123211501991725,0.9683717644913443,0.9366840856415435
2017-01-01 00:33:00,0.03200000000000002,0.00031232601845874487,0.9702147967347017,0.9385271227531604
2017-01-01 00:34:00,0.03200000000000002,0.00031232642526268003,0.9703339580294283,0.938646284454691
2017-01-01 00:35:00,0.03200000000000002,0.00031232874532544433,0.9707927893995034,0.9391051181448289
2017-01-01 00:36:00,0.03200000000000002,0.0003123267379769234,0.9703292778793369,0.9386416046173138
2017-01-01 00:37:00,0.03200000000000002,0.000312328920718025,0.9708422635637106,0.9391545924844287
2017-01-01 00:38:00,0.03200000000000002,0.00031232814631506397,0.9706714130589447,0.9389837412052597
2017-01-01 00:39:00,0.03200000000000002,0.00031232432130343275,0.9699098297679853,0.9382221540892888
2017-01-01 00:40:00,0.03200000000000002,0.00031232638627866,0.9703824149104747,0.9386947412967533
2017-01-01 00:41:00,14788.008351490813,0.0003124042180250768,14788.482633872793,0.4745947861974855
2017-01-01 00:42:00,14788.008351490813,0.0003124076807439523,14788.482925057684,0.47488597455230774
2017-01-01 00:43:00,25892.29758125457,0.0003126324004114238,25894.400045339145,2.102776716976223
2017-01-01 00:44:00,11104.321229763767,0.00031240755192775416,11104.798652431222,0.47773507500642154
2017-01-01 00:45:00,11104.321229763767,0.0003124072616142179,11104.798634351879,0.47771699537224777
2017-01-01 00:46:00,11104.321229763767,0.0003124046762522448,11104.798289379823,0.4773720207322185
2017-01-01 00:47:00,11104.321229763767,0.0003124070323044584,11104.798731531251,0.47781417451551533
2017-01-01 00:48:00,11104.321229763767,0.00031241013846665996,11104.79936503554,0.4784476819113479
2017-01-01 00:49:00,11104.321229763767,0.000312406417449956,11104.79881995801,0.47790260065994516
2017-01-01 00:50:00,11104.321229763767,0.0003124053019886502,11104.79872654772,0.4778091892549128
2017-01-01 00:51:00,0.03200000000000002,0.0003123215535878413,0.9700335289876705,0.9383458505412583
2017-01-01 00:52:00,0.03200000000000002,0.00031232199683273003,0.9701770864468457,0.9384894084436785
2017-01-01 00:53:00,0.03200000000000002,0.0003123255369061745,0.9707244799019961,0.9390368054389022
2017-01-01 00:54:00,0.03200000000000002,0.0003123279357529823,0.9711039066197173,0.9394162345554703
2017-01-01 00:55:00,8252.869041420809,0.0003124134492311567,8253.349515067286,0.480786059926686
