,Demand,Lost Load,SC production,Boiler production,Tank Outflow,Curtailment,Resistance Energy,Tank SoC,NG consumption
2011-01-01 00:00:00,0.0,0.0,0.0,0.0,0.00011501889020643747,0.00011501889020643747,3.209123874620796e-05,0.027367854921172774,0.0
2011-01-01 00:01:00,0.0,0.0,0.0,0.0,4.869425041102726e-05,4.869425041102726e-05,5.173919220534059e-05,0.02709722131375536,0.0
2011-01-01 00:02:00,0.0,0.0,0.0,0.0,4.29340808976459e-05,4.29340808976459e-05,6.17968442983962e-05,0.026845111864018556,0.0
2011-01-01 00:03:00,0.0,0.0,0.0,0.0,4.032818685238541e-05,4.032818685238541e-05,7.099927363398068e-05,0.026607331832159964,0.0
2011-01-01 00:04:00,0.0,0.0,0.0,0.0,3.8673819822709204e-05,3.8673819822709204e-05,7.882501757143501e-05,0.02638140971158709,0.0
2011-01-01 00:05:00,0.0,0.0,0.0,0.0,3.747037561903062e-05,3.747037561903062e-05,8.602706739822526e-05,0.026166152306250412,0.0
2011-01-01 00:06:00,0.0,0.0,0.0,0.0,3.649250028022713e-05,3.649250028022713e-05,9.275766831225618e-05,0.025960755951219938,0.0
2011-01-01 00:07:00,0.0,0.0,0.0,0.0,3.5665101943106346e-05,3.5665101943106346e-05,9.923834257786926e-05,0.025764721632342502,0.0
2011-01-01 00:08:00,0.0,0.0,0.0,0.0,3.491302265978e-05,3.491302265978e-05,0.00010593014588631969,0.025578091539245618,0.0
2011-01-01 00:09:00,0.0,0.0,0.0,0.0,3.42047659209325e-05,3.42047659209325e-05,0.0001132072079639856,0.025401313065896214,0.0
2011-01-01 00:10:00,0.0,0.0,0.0,0.0,3.357058495318107e-05,3.357058495318107e-05,0.00012218232068587692,0.025235911670969946,0.0
2011-01-01 00:11:00,0.0,0.0,0.0,0.0,3.293545148682492e-05,3.293545148682492e-05,0.0001315575771257821,0.025082174679899205,0.0
2011-01-01 00:12:00,0.0,0.0,0.0,0.0,3.233631158918891e-05,3.233631158918891e-05,0.00014264303935661955,0.024941659660867643,0.0
2011-01-01 00:13:00,0.0,0.0,0.0,0.0,3.175168758001723e-05,3.175168758001723e-05,0.0001557049429499989,0.024816196319628947,0.0
2011-01-01 00:14:00,0.0,0.0,0.0,0.0,3.1153726693809204e-05,3.1153726693809204e-05,0.00017122623192173617,0.024708106861660584,0.0
2011-01-01 00:15:00,0.0,0.0,0.0,0.0,3.060568870981179e-05,3.060568870981179e-05,0.00019054283277069543,0.024620962937104862,0.0
2011-01-01 00:16:00,0.0,0.0,0.0,0.0,3.004139348604124e-05,3.004139348604124e-05,0.00021372078296303613,0.024558432697210808,0.0
2011-01-01 00:17:00,0.0,0.0,0.0,0.0,2.9505639833504738e-05,2.9505639833504738e-05,0.00024300182750006116,0.024526344557905255,0.0
2011-01-01 00:18:00,0.0,0.0,0.0,0.0,2.8979793892622806e-05,2.8979793892622806e-05,0.000280963001368764,0.024533064319802345,0.0
2011-01-01 00:19:00,0.0,0.0,0.0,0.0,2.8437495972324055e-05,2.8437495972324055e-05,0.00033243592513942846,0.024591732105771424,0.0
2011-01-01 00:20:00,0.0,0.0,0.0,0.0,2.793140087932293e-05,2.793140087932293e-05,0.00040865771687187934,0.024726541100706267,0.0
2011-01-01 00:21:00,0.0,0.0,0.0,0.0,2.7396831008623737e-05,2.7396831008623737e-05,0.0005270551687705707,0.024978934027461153,0.0
2011-01-01 00:22:00,0.0,0.0,0.0,0.0,2.6860295721905375e-05,2.6860295721905375e-05,0.0007450654066361792,0.025447349798100816,0.0
2011-01-01 00:23:00,0.0,0.0,0.0,0.0,2.6273350401791185e-05,2.6273350401791185e-05,0.0012902852489268743,0.02645688819864489,0.0
2011-01-01 00:24:00,9.8,0.0,0.0,1.3316910629350334e-05,9.80000653860917,1.9855519798994692e-05,9.784025499252055,0.010211279959543518,1.1684575440335468e-06
2011-01-01 00:25:00,9.8,0.0,0.0,1.3327954180431e-05,9.800006499174204,1.9827128383553827e-05,9.79600991101229,0.00611257899803333,1.1694265315812056e-06
2011-01-01 00:26:00,0.0,0.0,0.0,0.0,2.6590807347143947e-05,2.6590807347143947e-05,0.000993833477304442,0.007018695878010295,0.0
2011-01-01 00:27:00,0.0,0.0,0.0,0.0,2.6914013579271666e-05,2.6914013579271666e-05,0.0007574722359169877,0.007679067141567908,0.0
2011-01-01 00:28:00,0.0,0.0,0.0,0.0,2.7078090388261804e-05,2.7078090388261804e-05,0.0006634734730599032,0.00823867185282387,0.0
2011-01-01 00:29:00,0.0,0.0,0.0,0.0,2.714159453854302e-05,2.714159453854302e-05,0.0006156079819926337,0.008744751521749722,0.0
2011-01-01 00:30:00,0.0,0.0,0.0,0.0,2.7168682474097358e-05,2.7168682474097358e-05,0.0005981754463825466,0.009228310770440673,0.0
2011-01-01 00:31:00,0.0,0.0,0.0,0.0,2.7135142758191733e-05,2.7135142758191733e-05,0.0005935453344765793,0.009702437854454654,0.0
2011-01-01 00:32:00,0.0,0.0,0.0,0.0,2.708474889095286e-05,2.708474889095286e-05,0.0006045681880711227,0.010182896915090278,0.0
2011-01-01 00:33:00,0.0,0.0,0.0,0.0,2.700834579645768e-05,2.700834579645768e-05,0.0006296242046206716,0.010683683804763588,0.0
2011-01-01 00:34:00,0.0,0.0,0.0,0.0,2.6888236699542864e-05,2.6888236699542864e-05,0.0006701654803873934,0.011220124210403803,0.0
2011-01-01 00:35:00,0.0,0.0,0.0,0.0,2.6773569824856472e-05,2.6773569824856472e-05,0.0007362061465077622,0.011817355544982672,0.0
