,Demand,Lost Load,RES production,Bat Inflow,Bat Outflow,Curtailment,Genset production,Bat SoC,Diesel consumption
2011-01-01 00:00:00,34.8,0.0,0.0,0.00020958059963754622,44.166825997226944,2.4490271743419692e-05,4.573799336318349e-08,666834.1808886179,1.5493900190780315e-08
2011-01-01 00:01:00,52.4,0.0,0.0,0.0002111990665683806,76.70425464514489,2.5292626922358947e-05,4.5311789599705155e-08,666753.4397685564,1.5349522222122342e-08
2011-01-01 00:02:00,73.7,0.0,0.0,0.0002263754925093094,97.99911356331228,2.5682179935274155e-05,4.759324014063269e-08,666650.2830219675,1.6122371321352537e-08
2011-01-01 00:03:00,83.1,0.0,0.0,0.00023505890027900479,113.6038291792897,2.6167758895617906e-05,4.7023994348590205e-08,666530.70026719,1.592953738095874e-08
2011-01-01 00:04:00,88.5,0.0,0.0,0.000236769695897086,121.80084480322131,2.643429695292206e-05,4.547392928451499e-08,666402.4890765388,1.5404447589605348e-08
2011-01-01 00:05:00,92.0,0.0,0.0,0.00023632959981865652,110.39858973093094,2.6380315481909847e-05,4.354554366988005e-08,666286.2802592299,1.475120043017617e-08
2011-01-01 00:06:00,96.7,0.0,0.0,0.00023439459612643486,106.10057498490436,2.650856472605348e-05,4.470024137085008e-08,666174.595666121,1.5142358187957345e-08
2011-01-01 00:07:00,101.3,0.0,0.0,0.00023192947890591847,110.00040453391799,2.6509724501559752e-05,4.4400087810593006e-08,666058.8059869446,1.504068015263991e-08
2011-01-01 00:08:00,104.1,0.0,0.0,0.00022952706557306845,110.60009059595896,2.6497381745888868e-05,4.428915036467116e-08,665942.3850569995,1.5003099717029527e-08
2011-01-01 00:09:00,107.9,0.0,0.0,0.00022817552701146415,116.400952859445,2.6533484347340513e-05,4.437097345624805e-08,665819.8579549668,1.5030817566479692e-08
2011-01-01 00:10:00,103.8,0.0,0.0,0.00022925569515938864,141.4995768157327,2.6434839795523257e-05,4.3550932797242215e-08,665670.9112497958,1.4753026015325954e-08
2011-01-01 00:11:00,102.0,0.0,0.0,0.00022835047535301476,139.7004765154995,2.650060291306872e-05,4.344123203154133e-08,665523.8583335582,1.471586450932972e-08
2011-01-01 00:12:00,99.1,0.0,0.0,0.00022658923827240584,128.1999516986757,2.6495298129485725e-05,4.375716478535259e-08,665388.9112312404,1.4822887799916189e-08
2011-01-01 00:13:00,94.7,0.0,0.0,0.00022489697033674502,109.20036407281171,2.649227796312345e-05,4.416182329122712e-08,665273.9636932369,1.4959967239575582e-08
2011-01-01 00:14:00,91.6,0.0,0.0,0.00022423053257399376,111.40115990244846,2.653896082183703e-05,4.487240890536901e-08,665156.6995274113,1.5200680523498988e-08
2011-01-01 00:15:00,91.4,0.0,0.0,0.00022480247518914982,111.19978790329534,2.6403313353069066e-05,4.3349452522776134e-08,665039.6473326543,1.4684773889829314e-08
2011-01-01 00:16:00,90.9,0.0,0.0,0.00022495327918494075,121.9005397517456,2.6494626425316178e-05,4.4170548191154406e-08,664911.331188684,1.4962922828981846e-08
2011-01-01 00:17:00,90.2,0.0,0.0,0.00022463037457922264,104.7005748232525,2.650224366362551e-05,4.522147811457136e-08,664801.12027069,1.5318928900600055e-08
2011-01-01 00:18:00,90.5,0.0,0.0,0.0002243538527749076,112.10069651226958,2.6501781878027108e-05,4.614960470151885e-08,664683.1197506554,1.563333492598877e-08
2011-01-01 00:19:00,89.0,0.0,0.0,0.00022495860343598167,110.60124325598726,2.6548407685490304e-05,4.7076372945242596e-08,664566.697603044,1.594728080800901e-08
