,Demand,Lost Load,SC production,Boiler production,Tank Outflow,Curtailment,Resistance Energy,Tank SoC,NG consumption
2011-01-01 00:00:00,0.0,0.0,0.0,0.0,0.00027613878813190196,0.00027613878813190196,2.7604855314028237e-05,0.030863564152814327,0.0
2011-01-01 00:01:00,0.0,0.0,0.0,0.0,0.00013367508240697934,0.00013367508240697934,3.152541925281998e-05,0.030452778848132023,0.0
2011-01-01 00:02:00,0.0,0.0,0.0,0.0,0.00011329104208825916,0.00011329104208825916,3.350749040499071e-05,0.030068467507967434,0.0
2011-01-01 00:03:00,0.0,0.0,0.0,0.0,0.00010384317010227607,0.00010384317010227607,3.528210841117769e-05,0.02969922177119666,0.0
2011-01-01 00:04:00,0.0,0.0,0.0,0.0,9.804423190100408e-05,9.804423190100408e-05,3.638419127221745e-05,0.029340569512855907,0.0
2011-01-01 00:05:00,0.0,0.0,0.0,0.0,9.404173668974935e-05,9.404173668974935e-05,3.711252777174076e-05,0.02899023460880934,0.0
2011-01-01 00:06:00,0.0,0.0,0.0,0.0,9.078416369313349e-05,9.078416369313349e-05,3.7561933384324666e-05,0.028647110032412437,0.0
2011-01-01 00:07:00,0.0,0.0,0.0,0.0,8.822137232860098e-05,8.822137232860098e-05,3.78228754842262e-05,0.02831024043524394,0.0
2011-01-01 00:08:00,0.0,0.0,0.0,0.0,8.60471438035227e-05,8.60471438035227e-05,3.802872604995102e-05,0.027979119613137926,0.0
2011-01-01 00:09:00,0.0,0.0,0.0,0.0,8.388550360008146e-05,8.388550360008146e-05,3.825297889152677e-05,0.02765369589229799,0.0
2011-01-01 00:10:00,0.0,0.0,0.0,0.0,8.23075932106193e-05,8.23075932106193e-05,3.871564503428416e-05,0.027333566985198676,0.0
2011-01-01 00:11:00,0.0,0.0,0.0,0.0,8.04429910640556e-05,8.04429910640556e-05,3.901807890263457e-05,0.02701880640318527,0.0
2011-01-01 00:12:00,0.0,0.0,0.0,0.0,7.888546297948678e-05,7.888546297948678e-05,3.940893346591828e-05,0.026709141809639847,0.0
2011-01-01 00:13:00,0.0,0.0,0.0,0.0,7.740034100602337e-05,7.740034100602337e-05,3.983676286581318e-05,0.02640448681340324,0.0
2011-01-01 00:14:00,0.0,0.0,0.0,0.0,7.578363165834288e-05,7.578363165834288e-05,4.028040293392577e-05,0.02610493871654479,0.0
2011-01-01 00:15:00,0.0,0.0,0.0,0.0,7.460000435031077e-05,7.460000435031077e-05,4.081780877179949e-05,0.02581010713380083,0.0
2011-01-01 00:16:00,0.0,0.0,0.0,0.0,7.31214911703495e-05,7.31214911703495e-05,4.1280051174339923e-05,0.025520164622466812,0.0
2011-01-01 00:17:00,0.0,0.0,0.0,0.0,7.1905695111436e-05,7.1905695111436e-05,4.1759828858551826e-05,0.02523481710998926,0.0
2011-01-01 00:18:00,0.0,0.0,0.0,0.0,7.074524341113119e-05,7.074524341113119e-05,4.221899329203468e-05,0.02495394268877027,0.0
2011-01-01 00:19:00,0.0,0.0,0.0,0.0,6.946163097867485e-05,6.946163097867485e-05,4.2664807565053766e-05,0.024677606438468946,0.0
2011-01-01 00:20:00,0.0,0.0,0.0,0.0,6.855517470858677e-05,6.855517470858677e-05,4.322177672339098e-05,0.02440549697609906,0.0
2011-01-01 00:21:00,0.0,0.0,0.0,0.0,6.738109521911258e-05,6.738109521911258e-05,4.367944421793156e-05,0.02413774035533689,0.0
2011-01-01 00:22:00,0.0,0.0,0.0,0.0,6.643863943867892e-05,6.643863943867892e-05,4.4139513517925996e-05,0.023874063825862768,0.0
