,Demand,Lost Load,SC production,Boiler production,Tank Outflow,Curtailment,Resistance Energy,Tank SoC,NG consumption
2011-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0001319550689272272,0.0001319550689272272,3.094744102734217e-05,0.029398247509866637,0.0
2011-01-01 00:01:00,0.0,0.0,0.0,0.0,5.8013339726723846e-05,5.8013339726723846e-05,4.478773244434109e-05,0.029091039427485588,0.0
2011-01-01 00:02:00,0.0,0.0,0.0,0.0,5.147175245215536e-05,5.147175245215536e-05,5.121000625598314e-05,0.028799867287014558,0.0
2011-01-01 00:03:00,0.0,0.0,0.0,0.0,4.844095721398176e-05,4.844095721398176e-05,5.673251237154806e-05,0.028520160169301978,0.0
2011-01-01 00:04:00,0.0,0.0,0.0,0.0,4.651674820004459e-05,4.651674820004459e-05,6.096124493973104e-05,0.028249403064348644,0.0
2011-01-01 00:05:00,0.0,0.0,0.0,0.0,4.51339582991624e-05,4.51339582991624e-05,6.445221788881159e-05,0.027986227293294808,0.0
2011-01-01 00:06:00,0.0,0.0,0.0,0.0,4.39975627008005e-05,4.39975627008005e-05,6.739930174979886e-05,0.027729766759410857,0.0
2011-01-01 00:07:00,0.0,0.0,0.0,0.0,4.304112659885245e-05,4.304112659885245e-05,6.997605365304904e-05,0.027479404018870945,0.0
2011-01-01 00:08:00,0.0,0.0,0.0,0.0,4.216671247978584e-05,4.216671247978584e-05,7.245984805318625e-05,0.027234903114255637,0.0
2011-01-01 00:09:00,0.0,0.0,0.0,0.0,4.129837533845275e-05,4.129837533845275e-05,7.502651655884947e-05,0.02699628222433348,0.0
2011-01-01 00:10:00,0.0,0.0,0.0,0.0,4.0592692742367044e-05,4.0592692742367044e-05,7.819973174199202e-05,0.02676392644108977,0.0
2011-01-01 00:11:00,0.0,0.0,0.0,0.0,3.983509277920706e-05,3.983509277920706e-05,8.1149813773073e-05,0.026537601897672736,0.0
2011-01-01 00:12:00,0.0,0.0,0.0,0.0,3.914335637320997e-05,3.914335637320997e-05,8.443580220647844e-05,0.026317518324529277,0.0
2011-01-01 00:13:00,0.0,0.0,0.0,0.0,3.846164683699461e-05,3.846164683699461e-05,8.799967763307732e-05,0.026103881172080068,0.0
2011-01-01 00:14:00,0.0,0.0,0.0,0.0,3.7734465337134915e-05,3.7734465337134915e-05,9.18398600851804e-05,0.025896947755107314,0.0
2011-01-01 00:15:00,0.0,0.0,0.0,0.0,3.713802958016312e-05,3.713802958016312e-05,9.619734884987814e-05,0.025697037596825956,0.0
2011-01-01 00:16:00,0.0,0.0,0.0,0.0,3.6483045378932514e-05,3.6483045378932514e-05,0.00010067024889843959,0.025504254424377204,0.0
2011-01-01 00:17:00,0.0,0.0,0.0,0.0,3.5893556678835356e-05,3.5893556678835356e-05,0.00010549571482280744,0.025318814038277404,0.0
2011-01-01 00:18:00,0.0,0.0,0.0,0.0,3.531561211302407e-05,3.531561211302407e-05,0.00011066560585899733,0.025140975891640605,0.0
2011-01-01 00:19:00,0.0,0.0,0.0,0.0,3.470018823640902e-05,3.470018823640902e-05,0.00011624601364727252,0.02497111195813506,0.0
2011-01-01 00:20:00,0.0,0.0,0.0,0.0,3.4204896488949834e-05,3.4204896488949834e-05,0.0001227267817999144,0.024809922723864675,0.0
2011-01-01 00:21:00,0.0,0.0,0.0,0.0,3.3664247561145284e-05,3.3664247561145284e-05,0.00012949317886211831,0.024657652427927,0.0
2011-01-01 00:22:00,0.0,0.0,0.0,0.0,3.3174502530976e-05,3.3174502530976e-05,0.00013691962094517342,0.024514821022061928,0.0
2011-01-01 00:23:00,0.0,0.0,0.0,0.0,3.269281942068231e-05,3.269281942068231e-05,0.00014510652065209424,0.02438208651307272,0.0
2011-01-01 00:24:00,0.0,0.0,0.0,0.0,3.2184956098863914e-05,3.2184956098863914e-05,0.00015422442945077107,0.0242603051212939,0.0
2011-01-01 00:25:00,0.0,0.0,0.0,0.0,3.1759389086826254e-05,3.1759389086826254e-05,0.00016538682213528867,0.024151329503129426,0.0
2011-01-01 00:26:00,0.0,0.0,0.0,0.0,3.130487007853592e-05,3.130487007853592e-05,0.0001772942922759822,0.02405580563029558,0.0
2011-01-01 00:27:00,0.0,0.0,0.0,0.0,3.0878546197091704e-05,3.0878546197091704e-05,0.00019094922365840619,0.023975318251453936,0.0
2011-01-01 00:28:00,0.0,0.0,0.0,0.0,3.0466298075530664e-05,3.0466298075530664e-05,0.00020690408698730142,0.023912002857851167,0.0
2011-01-01 00:29:00,0.0,0.0,0.0,0.0,3.002207360347422e-05,3.002207360347422e-05,0.00022570216776479895,0.023868562923433978,0.0
2011-01-01 00:30:00,0.0,0.0,0.0,0.0,2.9661519977109384e-05,2.9661519977109384e-05,0.00024984665322805213,0.02385006242745058,0.0
2011-01-01 00:31:00,0.0,0.0,0.0,0.0,2.925761782508838e-05,2.925761782508838e-05,0.00027761072417422945,0.023859914909525215,0.0
2011-01-01 00:32:00,0.0,0.0,0.0,0.0,2.8889805145486565e-05,2.8889805145486565e-05,0.0003128755433751832,0.02390530149865966,0.0
2011-01-01 00:33:00,0.0,0.0,0.0,0.0,2.852205337678694e-05,2.852205337678694e-05,0.0003586401949884858,0.02399636662528476,0.0
2011-01-01 00:34:00,0.0,0.0,0.0,0.0,2.8113331982963438e-05,2.8113331982963438e-05,0.00042051150472430764,0.024148801131773256,0.0
2011-01-01 00:35:00,0.0,0.0,0.0,0.0,2.7776430203635058e-05,2.7776430203635058e-05,0.0005127933434808125,0.0243923300337327,0.0
2011-01-01 00:36:00,0.0,0.0,0.0,0.0,2.737732731854063e-05,2.737732731854063e-05,0.0006536495721327865,0.02477467897820962,0.0
2011-01-01 00:37:00,0.0,0.0,0.0,0.0,2.7009034165397655e-05,2.7009034165397655e-05,0.0009133692632900675,0.02541329241755219,0.0
2011-01-01 00:38:00,0.0,0.0,0.0,0.0,2.6610611705377152e-05,2.6610611705377152e-05,0.0015710543874970263,0.02670360326916832,0.0
2011-01-01 00:39:00,7.5,0.0,0.0,1.3138306932540306e-05,7.500007099801665,2.0238108596970505e-05,7.4845859335176455,0.011015400952457455,1.1527864291076867e-06
2011-01-01 00:40:00,7.5,0.0,0.0,1.314795821936017e-05,7.500007055205864,2.0203164083021363e-05,7.497233711916036,0.008131903653104011,1.1536332560638913e-06
2011-01-01 00:41:00,7.5,0.0,0.0,1.3146869609738452e-05,7.500007054888815,2.0201758425208993e-05,7.5006998655997545,0.0087433953275117,1.1535377388557035e-06
2011-01-01 00:42:00,7.5,0.0,0.0,1.3148289568410337e-05,7.500007047834344,2.0196123911908614e-05,7.499741339845289,0.008390253385181623,1.1536623294209297e-06
2011-01-01 00:43:00,7.5,0.0,0.0,1.3143969739354836e-05,7.500007059681818,2.020365155708248e-05,7.500307170766273,0.008606461935738885,1.1532832973023458e-06
2011-01-01 00:44:00,7.5,0.0,0.0,1.3142064487780056e-05,7.500007051476069,2.0193540557045253e-05,7.499949038901827,0.008462384742139228,1.1531161259787713e-06
