,"SC_Energy 1,1","Tank_Flow_Out 1,1","Thermal_Curtailment 1,1","Thermal_Energy_Demand 1,1","Tank_State_of_Charge 1,1","Total_Boiler_Energy_Production 1,1","NaturalGas 1,1","Resistance 1,1","Lost_Load_Th 1,1","SC_Energy 1,2","Tank_Flow_Out 1,2","Thermal_Curtailment 1,2","Thermal_Energy_Demand 1,2","Tank_State_of_Charge 1,2","Total_Boiler_Energy_Production 1,2","NaturalGas 1,2","Resistance 1,2","Lost_Load_Th 2,2","SC_Energy 1,3","Tank_Flow_Out 1,3","Thermal_Curtailment 1,3","Thermal_Energy_Demand 1,3","Tank_State_of_Charge 1,3","Total_Boiler_Energy_Production 1,3","NaturalGas 1,3","Resistance 1,3","Lost_Load_Th 3,3","SC_Energy 1,4","Tank_Flow_Out 1,4","Thermal_Curtailment 1,4","Thermal_Energy_Demand 1,4","Tank_State_of_Charge 1,4","Total_Boiler_Energy_Production 1,4","NaturalGas 1,4","Resistance 1,4","Lost_Load_Th 4,4"
2011-01-01 00:00:00,0.0,0.004514911161069866,0.004514911161069866,0.0,17.61959998701805,0.0,0.0,0.0022536049826833754,0.0,0.0,9.244940431907438,0.003141184959658011,9.4,14.87313207358239,0.15820075305222084,1.388091191122408e-05,0.004914330163534041,0.0,0.0,0.007559925920818905,0.007559925920818905,0.0,0.023709439924373413,0.0,0.0,0.0018916125870405273,0.0,0.0,0.0065071486844487944,0.0065071486844487944,0.0,0.0218379208162386,0.0,0.0,0.0015851396833547133,0.0
2011-01-01 01:00:00,0.0,0.0016680146149840565,0.0016680146149840565,0.0,17.44451675906731,0.0,0.0,0.0027807865344253143,0.0,0.0,4.847715041379523,0.0024419590836544103,24.3,9.879889024390433,19.454726917704132,0.0017070042044138047,0.0032033129233693344,0.0,0.0,0.004134631836832522,0.004134631836832522,0.0,0.020705699335784283,0.0,0.0,0.0013679856474871279,0.0,0.0,0.0035332900279077257,0.0035332900279077257,0.0,0.0192317663967809,0.0,0.0,0.001145514816612413,0.0
2011-01-01 02:00:00,0.0,0.002037207803320823,0.002037207803320823,0.0,17.271360371838263,0.0,0.0,0.00332598816494743,0.0,0.0,0.2529401186204053,0.0025344941966700674,24.3,9.533453904429768,24.049594375576266,0.00211016884930914,0.005303888903645971,0.0,0.0,0.0037695023493890716,0.0037695023493890716,0.0,0.018839146482767192,0.0,0.0,0.0021100064897298246,0.0,0.0,0.003200859323537118,0.003200859323537118,0.0,0.017595309337067353,0.0,0.0,0.0017567199277913792,0.0
2011-01-01 03:00:00,0.0,0.002225894435290866,0.002225894435290866,0.0,17.100824727127392,0.0,0.0,0.004403853442802142,0.0,0.0,0.1289991916053165,0.002806054338734043,30.5,9.313975072406375,30.373806862733417,0.002665070357351357,0.0048548986262217,0.0,0.0,0.0036142352134040847,0.0036142352134040847,0.0,0.017932380901372134,0.0,0.0,0.0028958610968366997,0.0,0.0,0.003044860948178886,0.003044860948178886,0.0,0.01696906763037703,0.0,0.0,0.0025945723348592374,0.0
2011-01-01 04:00:00,0.0,0.0023288450696119355,0.0023288450696119355,0.0,16.93105840629369,0.0,0.0,0.003570771507184196,0.0,0.0,0.08797863382281952,0.0031258737699388917,33.3,9.140148250934192,33.215147239947115,0.002914376348157157,0.007291563074700443,0.0,0.0,0.0036169336999884176,0.0036169336999884176,0.0,0.016751068837986792,0.0,0.0,0.002614945445616798,0.0,0.0,0.0030077185915937743,0.0030077185915937743,0.0,0.016003735932196582,0.0,0.0,0.002212077569717097,0.0
2011-01-01 05:00:00,0.0,0.0024198972739318605,0.0024198972739318605,0.0,16.76303319598379,0.0,0.0,0.0037052710269703595,0.0,0.0,0.06839470758303258,0.002392629513469302,18.4,8.98768413305945,18.333997921930436,0.0016086687656339772,0.007332072217630412,0.0,0.0,0.0038099200136153363,0.0038099200136153363,0.0,0.015322357544180279,0.0,0.0,0.002548719408188693,0.0,0.0,0.003101385486718305,0.003101385486718305,0.0,0.014993561550874855,0.0,0.0,0.0022512484647185444,0.0
2011-01-01 06:00:00,0.0,0.0025297556759784068,0.0025297556759784068,0.0,16.599619705777638,0.0,0.0,0.006746597429663381,0.0,0.0,0.06069420237539051,0.0024844588275350077,9.4,8.852116206498817,9.341790256452144,0.0008196709885454194,0.015003117145348552,0.0,0.0,0.004135794814298268,0.004135794814298268,0.0,0.014909331660622655,0.0,0.0,0.0038759925061824466,0.0,0.0,0.0032847010903728634,0.0032847010903728634,0.0,0.014510660714914643,0.0,0.0,0.0029517358699213997,0.0
2011-01-01 07:00:00,0.0,0.002643917690159203,0.002643917690159203,0.0,16.445572633089668,0.0,0.0,0.014593042059965644,0.0,0.0,0.049592793606306085,0.0025409397515225862,8.7,8.73134887321623,8.652948146145215,0.0007592303365925433,0.017346622388708915,0.0,0.0,0.004508458844306038,0.004508458844306038,0.0,0.018753008362776144,0.0,0.0,0.008501228863065754,0.0,0.0,0.0034721894166499572,0.0034721894166499572,0.0,0.016758485397909858,0.0,0.0,0.005865120706794318,0.0
2011-01-01 08:00:00,0.0,0.0027368369643256327,0.0027368369643256327,0.0,16.29530740838522,0.0,0.0,0.016927338590773715,0.0,0.0,0.04108304381429967,0.0026036777345863626,6.5,8.629557432669534,6.461520633920287,0.0005669492527788267,0.026605091999765643,0.0,0.0,0.004577167494200609,0.004577167494200609,0.0,0.021964219125235777,0.0,0.0,0.007975908340288005,0.0,0.0,0.003463818027294332,0.003463818027294332,0.0,0.019154113195824128,0.0,0.0,0.0060270306791877,0.0
2011-01-01 09:00:00,0.0,0.0028077507536476876,0.0028077507536476876,0.0,16.129624575565934,0.0,0.0,7.79920182136695e-05,0.0,0.0,0.034675039948413436,0.002639350400530205,8.5,8.508589955858113,8.467964310452118,0.0007429994130430919,3.1374636875730103e-06,0.0,0.0,0.004141432336320922,0.004141432336320922,0.0,0.01767660419334092,0.0,0.0,7.345959567842358e-05,0.0,0.0,0.003315556442802321,0.003315556442802321,0.0,0.015707527991005422,0.0,0.0,6.051236994185823e-05,0.0
