,Demand,Lost Load,Curtailment,Electric resistance consumption,RES production,BESS outflow,BESS inflow,Genset production,Diesel consumption,BESS state of charge
2017-01-07 12:40:00,83.348,0.0,0.00012343775262024792,463.8102767651941,3.0154569990036255e-08,1.2767910807459735e-05,1.4135633188196725e-05,547.1584015405145,3.0891960339911617,8.539106486569856e-05
2017-01-07 12:41:00,82.258,0.0,0.00014253840549827146,452.6994015218851,3.0154569990036255e-08,1.2741649231546486e-05,1.4162485162791307e-05,534.9575454509719,3.0203113451387305,8.539178644253732e-05
2017-01-07 12:42:00,84.392,0.0,0.0001391270068609174,414.615391664395,3.0154569990036255e-08,1.274065244372298e-05,1.4162777065824085e-05,499.00753218337195,2.8173415322006097,8.539251019443527e-05
2017-01-07 12:43:00,82.84,0.0,0.00014548454197438332,479.79240957224215,3.0154569990036255e-08,1.2729188737500624e-05,1.4174249524959983e-05,562.6325564716904,3.176561407360492,8.53936167112559e-05
2017-01-07 12:44:00,82.277,0.0,0.000142809560003343,458.89341138617135,3.0154569990036255e-08,1.2726535469012677e-05,1.4176234158658034e-05,541.1705556152755,3.0553893158044008,8.539480120001337e-05
2017-01-07 12:45:00,84.757,0.0,0.0001476874362253966,501.09142479922707,3.0154569990036255e-08,1.27356788962162e-05,1.4168878533837208e-05,585.8485738897083,3.3076364831171428,8.539570881370762e-05
2017-01-07 12:46:00,84.717,0.0,0.00012554767457118032,511.1812939678126,3.0154569990036255e-08,1.2754071787367954e-05,1.4148509067466852e-05,595.8984208797699,3.3643768116518173,8.539599116279561e-05
2017-01-07 12:47:00,85.752,0.0,0.00012599801939927602,518.7862954769035,3.0154569990036255e-08,1.2748632363877117e-05,1.4153478498101207e-05,604.5384228496146,3.4131573105782214,8.539642768877209e-05
2017-01-07 12:48:00,84.224,0.0,0.00012516066919943114,503.19629268366907,3.0154569990036255e-08,1.2744997508153414e-05,1.4156636146957138e-05,587.4204192258223,3.3165109486552753,8.539697798025412e-05
2017-01-07 12:49:00,86.179,0.0,0.0001255698557827145,509.02429398763616,3.0154569990036255e-08,1.2739608844703062e-05,1.4161555672630903e-05,595.2034209492841,3.3604529186386864,8.539770070218125e-05
