,Demand,Lost Load,Electric resistance production,Curtailment
2017-01-07 00:00:00,9.438,5.268102567102317e-07,9.438129663133227,0.00013018994348179547
2017-01-07 00:01:00,24.333,5.261839747608285e-07,24.333124257083725,0.00012478326770093418
2017-01-07 00:02:00,24.333,5.261607387205258e-07,24.33312190543546,0.00012243159619984567
2017-01-07 00:03:00,30.503,5.260972239653166e-07,30.503114966409843,0.00011549250706721637
2017-01-07 00:04:00,33.341,5.260685388953383e-07,33.34111287699719,0.00011340306572549252
2017-01-07 00:05:00,18.447,5.261998517108721e-07,18.447127426035145,0.00012795223499750819
2017-01-07 00:06:00,9.438,5.266259164707815e-07,9.438122904967274,0.00012343159318994879
2017-01-07 00:07:00,8.719,5.267026072892111e-07,8.719119811540102,0.00012033824270929472
2017-01-07 00:08:00,6.453,5.270925344428261e-07,6.45310598679764,0.00010651389017368729
2017-01-07 00:09:00,8.55,5.267091301767879e-07,8.550118667871532,0.00011919458066067534
2017-01-07 00:10:00,37.694,5.259676508821169e-07,37.69410944837882,0.0001099743464649805
2017-01-07 00:11:00,37.694,5.259613717080165e-07,37.694109313799075,0.0001098397604408774
2017-01-07 00:12:00,29.144,5.260153051985636e-07,29.14411331422924,0.00011384024454841324
2017-01-07 00:13:00,14.488,5.262275243769987e-07,14.48812894231314,0.0001294685406634244
2017-01-07 00:14:00,19.752,5.261015142442573e-07,19.75212424263166,0.00012476873317268655
2017-01-07 00:15:00,19.752,5.260828555232047e-07,19.752123713031335,0.00012423911419290334
2017-01-07 00:16:00,31.038,5.259674857469588e-07,31.038111208645372,0.00011173461285807207
2017-01-07 00:17:00,14.488,5.261908528534945e-07,14.488129034462068,0.00012956065292080154
2017-01-07 00:18:00,21.581,5.260420971631049e-07,21.58112088428574,0.00012141032783574701
2017-01-07 00:19:00,21.581,5.260375053234604e-07,21.581120903979226,0.0001214300167333704
2017-01-07 00:20:00,16.883,5.260953717749998e-07,16.88312727081017,0.0001277969055450967
2017-01-07 00:21:00,16.883,5.260908347197522e-07,16.883127347667887,0.00012787375872136408
2017-01-07 00:22:00,7.377,5.267969756746113e-07,7.377112560188169,0.00011308698514511661
2017-01-07 00:23:00,20.292,5.260246056148289e-07,20.292122558416533,0.0001230844411388432
2017-01-07 00:24:00,20.292,5.260755901594587e-07,20.292145246200956,0.00014577227654299918
2017-01-07 00:25:00,20.292,5.260689744180229e-07,20.292145138792495,0.00014566486146705415
2017-01-07 00:26:00,19.942,5.260070596949118e-07,19.942122906999064,0.00012343300612371877
2017-01-07 00:27:00,34.92,5.258702676612652e-07,34.92010845315471,0.00010897902497930545
2017-01-07 00:28:00,29.958,5.259046914411387e-07,29.958111055603215,0.00011158150790890886
2017-01-07 00:29:00,44.152,5.258084666937303e-07,44.15210678130987,0.00010730711833417672
2017-01-07 00:30:00,42.938,5.258041444270917e-07,42.938106640483355,0.000107166287499183
2017-01-07 00:31:00,46.386,5.257828011551475e-07,46.38610663642281,0.00010716220560880174
2017-01-07 00:32:00,24.238,5.259381971796327e-07,24.238117039307806,0.00011756524600414764
2017-01-07 00:33:00,10.474,5.263525709324861e-07,10.474128620213595,0.00012914656616480613
2017-01-07 00:34:00,10.474,5.263528534140574e-07,10.474128860755467,0.00012938710831988942
2017-01-07 00:35:00,5.86,5.271479445120931e-07,5.860100522178888,0.00010104932683230317
2017-01-07 00:36:00,13.898,5.261208030886912e-07,13.89813292273788,0.00013344885868349365
2017-01-07 00:37:00,5.86,5.271501638490306e-07,5.86010047059066,0.00010099774082306112
2017-01-07 00:38:00,12.027,5.262226343470894e-07,12.02713244362371,0.00013296984634436626
2017-01-07 00:39:00,25.844,5.259477279800437e-07,25.84412024978419,0.00012077573191504598
