,Demand,Lost Load,Electric resistance production,Curtailment
2017-01-07 01:23:00,0.0,0.0,0.0,0.0
2017-01-07 01:24:00,0.0,0.0,0.0,0.0
2017-01-07 01:25:00,0.0,0.0,0.0,0.0
2017-01-07 01:26:00,0.0,0.0,0.0,0.0
2017-01-07 01:27:00,0.0,0.0,0.0,0.0
2017-01-07 01:28:00,0.0,0.0,0.0,0.0
2017-01-07 01:29:00,0.0,0.0,0.0,0.0
2017-01-07 01:30:00,0.0,0.0,0.0,0.0
2017-01-07 01:31:00,0.0,0.0,0.0,0.0
2017-01-07 01:32:00,0.0,0.0,0.0,0.0
2017-01-07 01:33:00,13.128,7.046053003718358e-07,13.12814458545931,0.00014529006461039273
2017-01-07 01:34:00,13.128,7.045290933631147e-07,13.128144508673074,0.00014521320216687172
2017-01-07 01:35:00,19.014,7.037681835616797e-07,19.01417497017894,0.00017567394712258988
2017-01-07 01:36:00,19.014,7.037809687998121e-07,19.014175244872956,0.00017594865392567272
2017-01-07 01:37:00,19.014,7.038226697835833e-07,19.01417587534541,0.00017657916808033747
2017-01-07 01:38:00,19.014,7.038275569082103e-07,19.014175872396194,0.0001765762237511126
2017-01-07 01:39:00,33.057,7.031482327223579e-07,33.05716793209811,0.0001686352463394769
2017-01-07 01:40:00,33.057,7.024575391102175e-07,33.05718656663549,0.00018726909302557715
2017-01-07 01:41:00,19.014,7.033323875758066e-07,19.014174489894412,0.00017519322679859783
2017-01-07 01:42:00,19.014,7.03327752673251e-07,19.014174571398602,0.0001752747263559229
2017-01-07 01:43:00,13.128,7.043344410061919e-07,13.1281371060115,0.00013781034594195773
2017-01-07 01:44:00,13.128,7.043449857580718e-07,13.12813693340278,0.00013763774776620608
2017-01-07 01:45:00,13.128,7.043426663162598e-07,13.128137012058035,0.00013771640070103786
2017-01-07 01:46:00,0.0,0.0,0.0,0.0
2017-01-07 01:47:00,0.0,0.0,0.0,0.0
2017-01-07 01:48:00,0.0,0.0,0.0,0.0
2017-01-07 01:49:00,0.0,0.0,0.0,0.0
2017-01-07 01:50:00,0.0,0.0,0.0,0.0
2017-01-07 01:51:00,0.0,0.0,0.0,0.0
2017-01-07 01:52:00,0.0,0.0,0.0,0.0
2017-01-07 01:53:00,0.0,0.0,0.0,0.0
2017-01-07 01:54:00,0.0,0.0,0.0,0.0
2017-01-07 01:55:00,0.0,0.0,0.0,0.0
2017-01-07 01:56:00,0.0,0.0,0.0,0.0
2017-01-07 01:57:00,0.0,0.0,0.0,0.0
2017-01-07 01:58:00,0.0,0.0,0.0,0.0
2017-01-07 01:59:00,0.0,0.0,0.0,0.0
2017-01-07 02:00:00,0.0,0.0,0.0,0.0
2017-01-07 02:01:00,12.725,7.049285994435402e-07,12.725139543006009,0.00014024793460798435
2017-01-07 02:02:00,12.725,7.049331259819318e-07,12.725139538347763,0.00014024328088879656
2017-01-07 02:03:00,12.725,7.048431172097542e-07,12.725141274703045,0.0001419795461625739
2017-01-07 02:04:00,12.725,7.048606648337119e-07,12.725141030907048,0.0001417357677127029
2017-01-07 02:05:00,12.725,7.04896833073556e-07,12.725140552543841,0.0001412574406742806
2017-01-07 02:06:00,12.725,7.049107371350654e-07,12.725140243614637,0.00014094852537560598
2017-01-07 02:07:00,12.725,7.049142243238475e-07,12.725140232009787,0.0001409369240121805
2017-01-07 02:08:00,12.725,7.048673224522195e-07,12.725141083902123,0.00014178876944548335
2017-01-07 02:09:00,0.0,0.0,0.0,0.0
2017-01-07 02:10:00,0.0,0.0,0.0,0.0
2017-01-07 02:11:00,0.0,0.0,0.0,0.0
2017-01-07 02:12:00,0.0,0.0,0.0,0.0
2017-01-07 02:13:00,0.0,0.0,0.0,0.0
2017-01-07 02:14:00,0.0,0.0,0.0,0.0
2017-01-07 02:15:00,0.0,0.0,0.0,0.0
2017-01-07 02:16:00,0.0,0.0,0.0,0.0
2017-01-07 02:17:00,0.0,0.0,0.0,0.0
2017-01-07 02:18:00,0.0,0.0,0.0,0.0
2017-01-07 02:19:00,0.0,0.0,0.0,0.0
2017-01-07 02:20:00,0.0,0.0,0.0,0.0
2017-01-07 02:21:00,0.0,0.0,0.0,0.0
2017-01-07 02:22:00,0.0,0.0,0.0,0.0
2017-01-07 02:23:00,0.0,0.0,0.0,0.0
2017-01-07 02:24:00,0.0,0.0,0.0,0.0
2017-01-07 02:25:00,12.605,7.04127429493578e-07,12.60514739260035,0.00014809672777893468
2017-01-07 02:26:00,12.605,7.041191975613116e-07,12.605147221689831,0.0001479258090277824
2017-01-07 02:27:00,12.605,7.050399103300059e-07,12.605137854476204,0.00013855951611496664
2017-01-07 02:28:00,12.605,7.049690070259446e-07,12.605139585459595,0.00014029042860208563
2017-01-07 02:29:00,12.605,7.049252234557507e-07,12.60514025929701,0.0001409642222327534
2017-01-07 02:30:00,12.605,7.048557160918833e-07,12.605140516307578,0.00014122116329495782
2017-01-07 02:31:00,0.0,0.0,0.0,0.0
2017-01-07 02:32:00,0.0,0.0,0.0,0.0
2017-01-07 02:33:00,0.0,0.0,0.0,0.0
2017-01-07 02:34:00,0.0,0.0,0.0,0.0
2017-01-07 02:35:00,0.0,0.0,0.0,0.0
2017-01-07 02:36:00,0.0,0.0,0.0,0.0
2017-01-07 02:37:00,0.0,0.0,0.0,0.0
2017-01-07 02:38:00,0.0,0.0,0.0,0.0
2017-01-07 02:39:00,0.0,0.0,0.0,0.0
2017-01-07 02:40:00,0.0,0.0,0.0,0.0
2017-01-07 02:41:00,0.0,0.0,0.0,0.0
2017-01-07 02:42:00,0.0,0.0,0.0,0.0
2017-01-07 02:43:00,0.0,0.0,0.0,0.0
2017-01-07 02:44:00,0.0,0.0,0.0,0.0
2017-01-07 02:45:00,0.0,0.0,0.0,0.0
2017-01-07 02:46:00,0.0,0.0,0.0,0.0
2017-01-07 02:47:00,0.0,0.0,0.0,0.0
2017-01-07 02:48:00,0.0,0.0,0.0,0.0
2017-01-07 02:49:00,0.0,0.0,0.0,0.0
2017-01-07 02:50:00,0.0,0.0,0.0,0.0
2017-01-07 02:51:00,9.755,7.058509509372111e-07,9.755114191872657,0.00011489772360739892
2017-01-07 02:52:00,9.755,7.058457029589167e-07,9.755114236169762,0.00011494201546469185
2017-01-07 02:53:00,9.755,7.048318770602773e-07,9.755126184462146,0.00012688929402138172
2017-01-07 02:54:00,0.0,0.0,0.0,0.0
2017-01-07 02:55:00,0.0,0.0,0.0,0.0
2017-01-07 02:56:00,0.0,0.0,0.0,0.0
2017-01-07 02:57:00,0.0,0.0,0.0,0.0
2017-01-07 02:58:00,0.0,0.0,0.0,0.0
2017-01-07 02:59:00,0.0,0.0,0.0,0.0
2017-01-07 03:00:00,0.0,0.0,0.0,0.0
2017-01-07 03:01:00,0.0,0.0,0.0,0.0
2017-01-07 03:02:00,0.0,0.0,0.0,0.0
2017-01-07 03:03:00,0.0,0.0,0.0,0.0
2017-01-07 03:04:00,0.0,0.0,0.0,0.0
2017-01-07 03:05:00,0.0,0.0,0.0,0.0
2017-01-07 03:06:00,0.0,0.0,0.0,0.0
2017-01-07 03:07:00,0.0,0.0,0.0,0.0
2017-01-07 03:08:00,0.0,0.0,0.0,0.0
2017-01-07 03:09:00,0.0,0.0,0.0,0.0
2017-01-07 03:10:00,0.0,0.0,0.0,0.0
2017-01-07 03:11:00,7.314,7.062656823727522e-07,7.314071409499065,7.211576474741577e-05
2017-01-07 03:12:00,7.314,7.062518429657555e-07,7.314071537447744,7.224369958702681e-05
2017-01-07 03:13:00,7.314,7.063228160014722e-07,7.314069678107935,7.03844307512469e-05
2017-01-07 03:14:00,7.314,7.069566941504983e-07,7.31408431749554,8.502445223435018e-05
2017-01-07 03:15:00,7.314,7.06880165401164e-07,7.314086031572567,8.673845273232672e-05
2017-01-07 03:16:00,0.0,0.0,0.0,0.0
2017-01-07 03:17:00,0.0,0.0,0.0,0.0
2017-01-07 03:18:00,0.0,0.0,0.0,0.0
2017-01-07 03:19:00,0.0,0.0,0.0,0.0
2017-01-07 03:20:00,5.368,7.082526159816479e-07,5.368055230849733,5.5939102348467884e-05
2017-01-07 03:21:00,5.368,7.081910755847782e-07,5.36805631152771,5.7019718784800943e-05
2017-01-07 03:22:00,0.0,0.0,0.0,0.0
2017-01-07 03:23:00,0.0,0.0,0.0,0.0
2017-01-07 03:24:00,0.0,0.0,0.0,0.0
2017-01-07 03:25:00,0.0,0.0,0.0,0.0
2017-01-07 03:26:00,0.0,0.0,0.0,0.0
2017-01-07 03:27:00,0.0,0.0,0.0,0.0
2017-01-07 03:28:00,0.0,0.0,0.0,0.0
2017-01-07 03:29:00,0.0,0.0,0.0,0.0
2017-01-07 03:30:00,0.0,0.0,0.0,0.0
2017-01-07 03:31:00,0.0,0.0,0.0,0.0
2017-01-07 03:32:00,0.0,0.0,0.0,0.0
